threads_used,computation_type,non_zero_values,time_used,FLOPS,MFLOPS,GFLOPS
1,serial_csr,27582698,0.0322217256762087,1712055913.8994836807250977,1712.0559138994835848,1.7120559138994838
1,serial_hll,27582698,0.0324016590602696,1702548499.0564246177673340,1702.5484990564245891,1.7025484990564248
2,parallel_open_mp_csr,27582698,0.0185778201557696,2969422436.9411640167236328,2969.4224369411640509,2.9694224369411644
3,parallel_open_mp_csr,27582698,0.0120698600076139,4570508354.2974500656127930,4570.5083542974498414,4.5705083542974503
4,parallel_open_mp_csr,27582698,0.0102656260132790,5373797557.8539047241210938,5373.7975578539044363,5.3737975578539050
5,parallel_open_mp_csr,27582698,0.0098672253079712,5590770888.2896013259887695,5590.7708882896013165,5.5907708882896019
6,parallel_open_mp_csr,27582698,0.0096630994230509,5708871821.0231266021728516,5708.8718210231263583,5.7088718210231271
7,parallel_open_mp_csr,27582698,0.0098110651597381,5622773379.0194101333618164,5622.7733790194097310,5.6227733790194101
8,parallel_open_mp_csr,27582698,0.0096462820656598,5718824685.4594688415527344,5718.8246854594681281,5.7188246854594693
9,parallel_open_mp_csr,27582698,0.0097228540107608,5673786312.0176038742065430,5673.7863120176034499,5.6737863120176044
10,parallel_open_mp_csr,27582698,0.0097309709526598,5669053609.1797904968261719,5669.0536091797903282,5.6690536091797910
11,parallel_open_mp_csr,27582698,0.0109672169201076,5030026888.4860124588012695,5030.0268884860124672,5.0300268884860131
12,parallel_open_mp_csr,27582698,0.0104228109121323,5292756096.7058210372924805,5292.7560967058207098,5.2927560967058209
13,parallel_open_mp_csr,27582698,0.0101804938167334,5418734787.6314563751220703,5418.7347876314561290,5.4187347876314567
14,parallel_open_mp_csr,27582698,0.0099186259321868,5561798214.5070400238037109,5561.7982145070400293,5.5617982145070402
15,parallel_open_mp_csr,27582698,0.0105383507907391,5234727624.4095516204833984,5234.7276244095510265,5.2347276244095520
16,parallel_open_mp_csr,27582698,0.0110852066427469,4976487834.4505052566528320,4976.4878344505050336,4.9764878344505057
17,parallel_open_mp_csr,27582698,0.0106302779167891,5189459431.9941415786743164,5189.4594319941415961,5.1894594319941421
18,parallel_open_mp_csr,27582698,0.0105582759715617,5224848843.5598745346069336,5224.8488435598746946,5.2248488435598750
