threads_used,computation_type,non_zero_values,time_used,FLOPS,MFLOPS,GFLOPS
1,serial_csr,8185136,0.0107737891376019,1519453535.8842074871063232,1519.4535358842074402,1.5194535358842076
1,serial_hll,8185136,0.0127747128717601,1281459095.3498640060424805,1281.4590953498639010,1.2814590953498641
2,parallel_open_mp_csr,8185136,0.0058346842415631,2805682590.9082078933715820,2805.6825909082076578,2.8056825909082082
3,parallel_open_mp_csr,8185136,0.0038848337717354,4213892527.1665062904357910,4213.8925271665057153,4.2138925271665064
4,parallel_open_mp_csr,8185136,0.0031899460591376,5131833484.4902620315551758,5131.8334844902619807,5.1318334844902624
5,parallel_open_mp_csr,8185136,0.0028837220743299,5676785618.7404193878173828,5676.7856187404195225,5.6767856187404195
6,parallel_open_mp_csr,8185136,0.0028251041658223,5794572886.2126083374023438,5794.5728862126079548,5.7945728862126087
7,parallel_open_mp_csr,8185136,0.0027997661381960,5847014069.0208015441894531,5847.0140690208008891,5.8470140690208021
8,parallel_open_mp_csr,8185136,0.0028661498799920,5711589653.5200195312500000,5711.5896535200190556,5.7115896535200195
9,parallel_open_mp_csr,8185136,0.0027740527875721,5901211423.7116889953613281,5901.2114237116884397,5.9012114237116897
10,parallel_open_mp_csr,8185136,0.0028188042342663,5807523559.4575052261352539,5807.5235594575051437,5.8075235594575059
11,parallel_open_mp_csr,8185136,0.0031292210333049,5231420799.5433683395385742,5231.4207995433680480,5.2314207995433684
12,parallel_open_mp_csr,8185136,0.0029951296746731,5465630466.1623115539550781,5465.6304661623116772,5.4656304661623123
13,parallel_open_mp_csr,8185136,0.0028563458472490,5731193936.3947601318359375,5731.1939363947594757,5.7311939363947602
14,parallel_open_mp_csr,8185136,0.0028304308652878,5783667850.9847908020019531,5783.6678509847906753,5.7836678509847914
15,parallel_open_mp_csr,8185136,0.0028926609084010,5659243346.6558856964111328,5659.2433466558850341,5.6592433466558862
16,parallel_open_mp_csr,8185136,0.0029196338728070,5606960568.7445726394653320,5606.9605687445728108,5.6069605687445732
17,parallel_open_mp_csr,8185136,0.0028135227039456,5818425412.7548379898071289,5818.4254127548374527,5.8184254127548387
18,parallel_open_mp_csr,8185136,0.0028203818947077,5804274956.7773361206054688,5804.2749567773362287,5.8042749567773368
19,parallel_open_mp_csr,8185136,0.0028386651538312,5766890814.1228408813476562,5766.8908141228403110,5.7668908141228412
20,parallel_open_mp_csr,8185136,0.0028294152580202,5785743875.3811035156250000,5785.7438753811029528,5.7857438753811037
21,parallel_open_mp_csr,8185136,0.0035756537690759,4578259825.2601242065429688,4578.2598252601237618,4.5782598252601243
22,parallel_open_mp_csr,8185136,0.0032595978118479,5022175417.0093135833740234,5022.1754170093136054,5.0221754170093140
23,parallel_open_mp_csr,8185136,0.0043265647254884,3783665110.4652009010314941,3783.6651104652005415,3.7836651104652010
24,parallel_open_mp_csr,8185136,0.0034704077988863,4717103276.8118610382080078,4717.1032768118611784,4.7171032768118613
25,parallel_open_mp_csr,8185136,0.0034581208601594,4733863465.7336511611938477,4733.8634657336506280,4.7338634657336511
26,parallel_open_mp_csr,8185136,0.0051651201210916,3169388439.4193491935729980,3169.3884394193491971,3.1693884394193494
27,parallel_open_mp_csr,8185136,0.0042283800430596,3871523333.5920143127441406,3871.5233335920142963,3.8715233335920147
28,parallel_open_mp_csr,8185136,0.0033737919293344,4852187788.3647689819335938,4852.1877883647684939,4.8521877883647697
29,parallel_open_mp_csr,8185136,0.0025056819431484,6533260154.8905487060546875,6533.2601548905486197,6.5332601548905487
30,parallel_open_mp_csr,8185136,0.0025071897543967,6529331085.2489881515502930,6529.3310852489876197,6.5293310852489883
31,parallel_open_mp_csr,8185136,0.0025715599767864,6365891578.5653142929077148,6365.8915785653143757,6.3658915785653143
32,parallel_open_mp_csr,8185136,0.0025398479774594,6445374741.0405721664428711,6445.3747410405721894,6.4453747410405722
33,parallel_open_mp_csr,8185136,0.0025142240338027,6511063365.8370008468627930,6511.0633658370006742,6.5110633658370016
34,parallel_open_mp_csr,8185136,0.0024910559877753,6571619457.9069709777832031,6571.6194579069706379,6.5716194579069711
35,parallel_open_mp_csr,8185136,0.0024932762607932,6565767403.0843152999877930,6565.7674030843154469,6.5657674030843154
36,parallel_open_mp_csr,8185136,0.0025325329042971,6463991828.9801855087280273,6463.9918289801853462,6.4639918289801859
37,parallel_open_mp_csr,8185136,0.0025031371042132,6539902258.0288696289062500,6539.9022580288692552,6.5399022580288699
38,parallel_open_mp_csr,8185136,0.0025244518183172,6484683875.2155656814575195,6484.6838752155654220,6.4846838752155662
39,parallel_open_mp_csr,8185136,0.0025568688288331,6402468447.1088104248046875,6402.4684471088103237,6.4024684471088111
40,parallel_open_mp_csr,8185136,0.0025267568416893,6478768249.4430704116821289,6478.7682494430700899,6.4787682494430712
2,parallel_open_mp_hll,8185136,0.0082834446802735,1976263816.7892522811889648,1976.2638167892521324,1.9762638167892523
3,parallel_open_mp_hll,8185136,0.0055988267995417,2923875409.2803831100463867,2923.8754092803828826,2.9238754092803831
4,parallel_open_mp_hll,8185136,0.0042497348040342,3852069071.3358998298645020,3852.0690713358994799,3.8520690713359000
5,parallel_open_mp_hll,8185136,0.0039442568086088,4150407236.2301807403564453,4150.4072362301803878,4.1504072362301807
6,parallel_open_mp_hll,8185136,0.0036387578584254,4498862699.0101518630981445,4498.8626990101520278,4.4988626990101519
7,parallel_open_mp_hll,8185136,0.0036686002276838,4462266527.8346719741821289,4462.2665278346721607,4.4622665278346725
8,parallel_open_mp_hll,8185136,0.0035904520191252,4559390269.7489461898803711,4559.3902697489456841,4.5593902697489463
9,parallel_open_mp_hll,8185136,0.0035843648947775,4567133224.5920848846435547,4567.1332245920848436,4.5671332245920855
10,parallel_open_mp_hll,8185136,0.0037177409976721,4403284685.5793581008911133,4403.2846855793577561,4.4032846855793588
11,parallel_open_mp_hll,8185136,0.0040942048653960,3998400797.7618732452392578,3998.4007977618730365,3.9984007977618736
12,parallel_open_mp_hll,8185136,0.0039157071150839,4180668144.6983308792114258,4180.6681446983302521,4.1806681446983314
13,parallel_open_mp_hll,8185136,0.0038920249789953,4206106612.4569883346557617,4206.1066124569879321,4.2061066124569884
14,parallel_open_mp_hll,8185136,0.0039235958829522,4172262508.2587738037109375,4172.2625082587737779,4.1722625082587737
15,parallel_open_mp_hll,8185136,0.0038477820344269,4254469679.8133783340454102,4254.4696798133782067,4.2544696798133783
16,parallel_open_mp_hll,8185136,0.0037642503157258,4348879757.4407768249511719,4348.8797574407763022,4.3488797574407769
17,parallel_open_mp_hll,8185136,0.0037679541856050,4344604842.2086372375488281,4344.6048422086369101,4.3446048422086374
18,parallel_open_mp_hll,8185136,0.0037261028774083,4393403118.1088943481445312,4393.4031181088939775,4.3934031181088944
19,parallel_open_mp_hll,8185136,0.0036839852109551,4443631302.1342716217041016,4443.6313021342712091,4.4436313021342722
20,parallel_open_mp_hll,8185136,0.0037625031545758,4350899209.2381496429443359,4350.8992092381495240,4.3508992092381495
21,parallel_open_mp_hll,8185136,0.0044042780064046,3716902515.2805032730102539,3716.9025152805029393,3.7169025152805033
22,parallel_open_mp_hll,8185136,0.0083260731771588,1966145582.8792209625244141,1966.1455828792209104,1.9661455828792211
23,parallel_open_mp_hll,8185136,0.0059062247164547,2771698129.6685876846313477,2771.6981296685876259,2.7716981296685876
24,parallel_open_mp_hll,8185136,0.0093905660323799,1743267865.1694924831390381,1743.2678651694923246,1.7432678651694926
25,parallel_open_mp_hll,8185136,0.0047885351814330,3418638765.2478766441345215,3418.6387652478765631,3.4186387652478767
26,parallel_open_mp_hll,8185136,0.0050638420507312,3232776977.6382050514221191,3232.7769776382046985,3.2327769776382054
27,parallel_open_mp_hll,8185136,0.0048982719890773,3342050428.4988899230957031,3342.0504284988896870,3.3420504284988901
28,parallel_open_mp_hll,8185136,0.0048402589745820,3382106636.4354743957519531,3382.1066364354742291,3.3821066364354748
29,parallel_open_mp_hll,8185136,0.0053521860390902,3058614158.8573889732360840,3058.6141588573887020,3.0586141588573890
30,parallel_open_mp_hll,8185136,0.0052248928695917,3133130651.4001722335815430,3133.1306514001721553,3.1331306514001724
