threads_used,computation_type,non_zero_values,time_used,FLOPS,MFLOPS,GFLOPS
1,serial_csr,1234877,0.0035783392377198,690195600.7876441478729248,690.1956007876441390,0.6901956007876442
1,serial_hll,1234877,0.0034316489472985,719698907.9970570802688599,719.6989079970570629,0.7196989079970572
2,parallel_open_mp_csr,1234877,0.0042857411317527,576272323.5199114084243774,576.2723235199114242,0.5762723235199114
3,parallel_open_mp_csr,1234877,0.0029769768007100,829618154.7034568786621094,829.6181547034568666,0.8296181547034569
4,parallel_open_mp_csr,1234877,0.0016380967572331,1507697264.5813565254211426,1507.6972645813564213,1.5076972645813567
5,parallel_open_mp_csr,1234877,0.0012197950854897,2024728603.5001440048217773,2024.7286035001438904,2.0247286035001442
6,parallel_open_mp_csr,1234877,0.0009438400156796,2616708296.9264559745788574,2616.7082969264556596,2.6167082969264563
7,parallel_open_mp_csr,1234877,0.0007745269685984,3188725635.2989578247070312,3188.7256352989575134,3.1887256352989581
8,parallel_open_mp_csr,1234877,0.0006756661459804,3655287473.9883694648742676,3655.2874739883691291,3.6552874739883698
9,parallel_open_mp_csr,1234877,0.0006128125824034,4030194664.5967087745666504,4030.1946645967086624,4.0301946645967091
10,parallel_open_mp_csr,1234877,0.0006189187988639,3990433001.1199846267700195,3990.4330011199845103,3.9904330011199849
11,parallel_open_mp_csr,1234877,0.0005216388963163,4734604757.1239633560180664,4734.6047571239632816,4.7346047571239636
12,parallel_open_mp_csr,1234877,0.0006483569741249,3809250302.7879705429077148,3809.2503027879702131,3.8092503027879707
13,parallel_open_mp_csr,1234877,0.0006948062218726,3554593960.5200724601745605,3554.5939605200724145,3.5545939605200725
14,parallel_open_mp_csr,1234877,0.0007426198571920,3325731161.2141933441162109,3325.7311612141929800,3.3257311612141938
15,parallel_open_mp_csr,1234877,0.0006227130070329,3966119178.6694583892822266,3966.1191786694580514,3.9661191786694587
16,parallel_open_mp_csr,1234877,0.0005877520889044,4202033555.6847252845764160,4202.0335556847248881,4.2020335556847259
17,parallel_open_mp_csr,1234877,0.0005644639022648,4375397594.2313642501831055,4375.3975942313636551,4.3753975942313641
18,parallel_open_mp_csr,1234877,0.0005497857928276,4492211388.9080238342285156,4492.2113889080237641,4.4922113889080242
19,parallel_open_mp_csr,1234877,0.0005322364158928,4640332615.8299932479858398,4640.3326158299933013,4.6403326158299931
20,parallel_open_mp_csr,1234877,0.0005268841050565,4687471070.5783090591430664,4687.4710705783090816,4.6874710705783089
21,parallel_open_mp_csr,1234877,0.0005023679696023,4916225057.0133972167968750,4916.2250570133974179,4.9162250570133974
22,parallel_open_mp_csr,1234877,0.0009009572677314,2741255427.3730816841125488,2741.2554273730816021,2.7412554273730820
23,parallel_open_mp_csr,1234877,0.0010929191485047,2259777407.4861512184143066,2259.7774074861513327,2.2597774074861512
24,parallel_open_mp_csr,1234877,0.0010663308203220,2316123620.2983641624450684,2316.1236202983641306,2.3161236202983644
25,parallel_open_mp_csr,1234877,0.0010725180618465,2302762151.8540787696838379,2302.7621518540786383,2.3027621518540791
26,parallel_open_mp_csr,1234877,0.0010719620622694,2303956536.2707777023315430,2303.9565362707776330,2.3039565362707779
27,parallel_open_mp_csr,1234877,0.0010765921324492,2294047973.7498474121093750,2294.0479737498471877,2.2940479737498474
28,parallel_open_mp_csr,1234877,0.0010538012720644,2343662002.9520678520202637,2343.6620029520677235,2.3436620029520681
29,parallel_open_mp_csr,1234877,0.0010629761964083,2323433025.4479260444641113,2323.4330254479259565,2.3234330254479261
30,parallel_open_mp_csr,1234877,0.0008510770276189,2901915948.6771669387817383,2901.9159486771668526,2.9019159486771673
31,parallel_open_mp_csr,1234877,0.0003899019211531,6334295539.4939403533935547,6334.2955394939399412,6.3342955394939411
32,parallel_open_mp_csr,1234877,0.0007236716337502,3412810292.4267983436584473,3412.8102924267982416,3.4128102924267987
33,parallel_open_mp_csr,1234877,0.0010528382845223,2345805653.4490509033203125,2345.8056534490506237,2.3458056534490512
34,parallel_open_mp_csr,1234877,0.0010548345744610,2341366181.7655487060546875,2341.3661817655483901,2.3413661817655487
35,parallel_open_mp_csr,1234877,0.0010630162432790,2323345495.0620470046997070,2323.3454950620471209,2.3233454950620471
36,parallel_open_mp_csr,1234877,0.0010750857181847,2297262402.6391110420227051,2297.2624026391108600,2.2972624026391113
37,parallel_open_mp_csr,1234877,0.0010518138296902,2348090441.7537426948547363,2348.0904417537426525,2.3480904417537429
38,parallel_open_mp_csr,1234877,0.0010639131069183,2321386947.8060450553894043,2321.3869478060451002,2.3213869478060452
39,parallel_open_mp_csr,1234877,0.0010769288055599,2293330800.7450175285339355,2293.3308007450173136,2.2933308007450175
40,parallel_open_mp_csr,1234877,0.0008956999517977,2757345241.6102681159973145,2757.3452416102682037,2.7573452416102682
2,parallel_open_mp_hll,1234877,0.0038009611889720,649770907.2025455236434937,649.7709072025454589,0.6497709072025456
3,parallel_open_mp_hll,1234877,0.0018256506882608,1352807530.9701285362243652,1352.8075309701284823,1.3528075309701286
4,parallel_open_mp_hll,1234877,0.0012688459828496,1946456885.5341925621032715,1946.4568855341924518,1.9464568855341926
5,parallel_open_mp_hll,1234877,0.0010618460364640,2325905936.6313214302062988,2325.9059366313213104,2.3259059366313215
6,parallel_open_mp_hll,1234877,0.0009189797565341,2687495543.2256655693054199,2687.4955432256656422,2.6874955432256655
7,parallel_open_mp_hll,1234877,0.0007802350446582,3165397423.3905158042907715,3165.3974233905155415,3.1653974233905160
8,parallel_open_mp_hll,1234877,0.0006781471893191,3641914379.2067565917968750,3641.9143792067566210,3.6419143792067570
9,parallel_open_mp_hll,1234877,0.0006111776456237,4040975676.5231628417968750,4040.9756765231627469,4.0409756765231633
10,parallel_open_mp_hll,1234877,0.0005769068375230,4281027436.9500894546508789,4281.0274369500893954,4.2810274369500894
11,parallel_open_mp_hll,1234877,0.0007098950445652,3479041048.2618374824523926,3479.0410482618372043,3.4790410482618377
12,parallel_open_mp_hll,1234877,0.0005767568945885,4282140401.2209119796752930,4282.1404012209113716,4.2821404012209126
13,parallel_open_mp_hll,1234877,0.0006528659723699,3782941835.7259011268615723,3782.9418357259010008,3.7829418357259015
14,parallel_open_mp_hll,1234877,0.0006012478843331,4107713414.6414432525634766,4107.7134146414427960,4.1077134146414434
15,parallel_open_mp_hll,1234877,0.0005440618842840,4539472569.8349075317382812,4539.4725698349075174,4.5394725698349081
16,parallel_open_mp_hll,1234877,0.0005832100287080,4234759140.6673660278320312,4234.7591406673655001,4.2347591406673661
17,parallel_open_mp_hll,1234877,0.0005759866908193,4287866437.4815807342529297,4287.8664374815807605,4.2878664374815809
18,parallel_open_mp_hll,1234877,0.0005462281405926,4521469723.8422937393188477,4521.4697238422932060,4.5214697238422943
19,parallel_open_mp_hll,1234877,0.0005382839590311,4588199143.8969926834106445,4588.1991438969926094,4.5881991438969933
20,parallel_open_mp_hll,1234877,0.0005230493843555,4721837122.5940952301025391,4721.8371225940945806,4.7218371225940956
21,parallel_open_mp_hll,1234877,0.0113192880526185,218189870.9988804459571838,218.1898709988804228,0.2181898709988805
22,parallel_open_mp_hll,1234877,0.0115488143637776,213853467.7417863607406616,213.8534677417863463,0.2138534677417864
23,parallel_open_mp_hll,1234877,0.0173094291239977,142682579.6684390902519226,142.6825796684390752,0.1426825796684391
24,parallel_open_mp_hll,1234877,0.0062854820862412,392929924.2465786933898926,392.9299242465786506,0.3929299242465787
25,parallel_open_mp_hll,1234877,0.0173514131456614,142337340.4383234083652496,142.3373404383233947,0.1423373404383234
26,parallel_open_mp_hll,1234877,0.0064130220562220,385115469.4850653409957886,385.1154694850653186,0.3851154694850654
27,parallel_open_mp_hll,1234877,0.0116326836869121,212311627.0047574639320374,212.3116270047574403,0.2123116270047575
28,parallel_open_mp_hll,1234877,0.0173742990009487,142149850.1818776726722717,142.1498501818776674,0.1421498501818777
29,parallel_open_mp_hll,1234877,0.0121027920395136,204064813.4692116677761078,204.0648134692116571,0.2040648134692117
30,parallel_open_mp_hll,1234877,0.0064291032031178,384152178.3010532855987549,384.1521783010532545,0.3841521783010533
31,parallel_open_mp_hll,1234877,0.0115415020845830,213988957.5810984075069427,213.9889575810983899,0.2139889575810984
32,parallel_open_mp_hll,1234877,0.0114953448064625,214848187.8169968426227570,214.8481878169968411,0.2148481878169969
33,parallel_open_mp_hll,1234877,0.0173278218135238,142531128.6426342427730560,142.5311286426342292,0.1425311286426343
34,parallel_open_mp_hll,1234877,0.0064002848230302,385881889.3673372268676758,385.8818893673372372,0.3858818893673372
35,parallel_open_mp_hll,1234877,0.0172778316773474,142943515.4897381663322449,142.9435154897381608,0.1429435154897382
36,parallel_open_mp_hll,1234877,0.0063395868055522,389576493.8240101337432861,389.5764938240101287,0.3895764938240102
37,parallel_open_mp_hll,1234877,0.0063236062414944,390561003.5922064185142517,390.5610035922064185,0.3905610035922065
38,parallel_open_mp_hll,1234877,0.0171800679527223,143756940.1236651539802551,143.7569401236651458,0.1437569401236652
39,parallel_open_mp_hll,1234877,0.0120069007389247,205694546.3031432330608368,205.6945463031432269,0.2056945463031432
40,parallel_open_mp_hll,1234877,0.0115452050231397,213920324.0695981383323669,213.9203240695981378,0.2139203240695982
4,cuda_csr_kernel_1,1234877,0.0001824000064516,13540317503.5235290527343750,13540.3175035235290125,13.5403175035235304
8,cuda_csr_kernel_1,1234877,0.0001120320011978,22045076171.0433158874511719,22045.0761710433143890,22.0450761710433163
16,cuda_csr_kernel_1,1234877,0.0000815360035631,30290348951.0503120422363281,30290.3489510503095516,30.2903489510503157
32,cuda_csr_kernel_1,1234877,0.0000731519976398,33761948814.5919685363769531,33761.9488145919676754,33.7619488145919675
4,cuda_csr_kernel_2,1234877,0.0003932160325348,6280908700.6928882598876953,6280.9087006928875780,6.2809087006928888
8,cuda_csr_kernel_2,1234877,0.0003977280284744,6209655400.6354589462280273,6209.6554006354590456,6.2096554006354596
16,cuda_csr_kernel_2,1234877,0.0004141760000493,5963054352.9943704605102539,5963.0543529943697649,5.9630543529943711
32,cuda_csr_kernel_2,1234877,0.0005647680372931,4373041384.9858751296997070,4373.0413849858750837,4.3730413849858758
4,cuda_csr_kernel_3,1234877,0.0004565440176520,5409673338.1846599578857422,5409.6733381846597695,5.4096733381846605
8,cuda_csr_kernel_3,1234877,0.0004811199905816,5133343133.4129533767700195,5133.3431334129527386,5.1333431334129536
16,cuda_csr_kernel_3,1234877,0.0005558720440604,4443026099.9629144668579102,4443.0260999629144862,4.4430260999629150
32,cuda_csr_kernel_3,1234877,0.0006625599926338,3727593014.1547102928161621,3727.5930141547100902,3.7275930141547104
4,cuda_csr_kernel_4,1234877,0.0003985600196756,6196692789.2314567565917969,6196.6927892314561177,6.1966927892314567
8,cuda_csr_kernel_4,1234877,0.0004025280068163,6135607853.8088312149047852,6135.6078538088313508,6.1356078538088319
16,cuda_csr_kernel_4,1234877,0.0004200640250929,5879470396.0996742248535156,5879.4703960996739625,5.8794703960996744
