threads_used,computation_type,non_zero_values,time_used,FLOPS,MFLOPS,GFLOPS
1,serial_csr,4007383,0.0049099109601229,1632364836.1638135910034180,1632.3648361638136066,1.6323648361638137
1,serial_hll,4007383,0.0056333318352699,1422739904.9741871356964111,1422.7399049741870840,1.4227399049741871
2,parallel_open_mp_csr,4007383,0.0032115590292960,2495599777.8302712440490723,2495.5997778302712504,2.4955997778302712
3,parallel_open_mp_csr,4007383,0.0020824931561947,3848639778.7953739166259766,3848.6397787953737861,3.8486397787953743
4,parallel_open_mp_csr,4007383,0.0016467079985887,4867144634.5491085052490234,4867.1446345491085594,4.8671446345491090
5,parallel_open_mp_csr,4007383,0.0014493928756565,5529740165.4260272979736328,5529.7401654260274881,5.5297401654260279
6,parallel_open_mp_csr,4007383,0.0013655750080943,5869151055.4112863540649414,5869.1510554112865066,5.8691510554112867
7,parallel_open_mp_csr,4007383,0.0013705661986023,5847777369.8003997802734375,5847.7773698003993559,5.8477773698003999
8,parallel_open_mp_csr,4007383,0.0013150749728084,6094531616.6152524948120117,6094.5316166152524602,6.0945316166152530
9,parallel_open_mp_csr,4007383,0.0012960631866008,6183931526.5333576202392578,6183.9315265333571006,6.1839315265333576
10,parallel_open_mp_csr,4007383,0.0012962780892849,6182906327.1611852645874023,6182.9063271611848904,6.1829063271611853
11,parallel_open_mp_csr,4007383,0.0012941879685968,6192891754.8891801834106445,6192.8917548891795377,6.1928917548891809
12,parallel_open_mp_csr,4007383,0.0013163830153644,6088475699.2867364883422852,6088.4756992867360168,6.0884756992867368
13,parallel_open_mp_csr,4007383,0.0013079720083624,6127628075.1868133544921875,6127.6280751868134757,6.1276280751868137
14,parallel_open_mp_csr,4007383,0.0013060560449958,6136617207.7446088790893555,6136.6172077446090043,6.1366172077446093
15,parallel_open_mp_csr,4007383,0.0013272629585117,6038566772.7720947265625000,6038.5667727720947369,6.0385667727720955
16,parallel_open_mp_csr,4007383,0.0013221399858594,6061964758.4369697570800781,6061.9647584369695323,6.0619647584369698
17,parallel_open_mp_csr,4007383,0.0013234489597380,6055969095.7682008743286133,6055.9690957682005319,6.0559690957682015
18,parallel_open_mp_csr,4007383,0.0013362839818001,5997801447.2668313980102539,5997.8014472668310191,5.9978014472668315
19,parallel_open_mp_csr,4007383,0.0013292599469423,6029494846.6898508071899414,6029.4948466898504194,6.0294948466898513
20,parallel_open_mp_csr,4007383,0.0013170808088034,6085250006.2478113174438477,6085.2500062478111431,6.0852500062478114
21,parallel_open_mp_csr,4007383,0.0017966008745134,4461072079.8913183212280273,4461.0720798913180261,4.4610720798913190
22,parallel_open_mp_csr,4007383,0.0018669499550015,4292973134.3514637947082520,4292.9731343514631590,4.2929731343514641
23,parallel_open_mp_csr,4007383,0.0029146298766136,2749840061.7892560958862305,2749.8400617892561968,2.7498400617892562
24,parallel_open_mp_csr,4007383,0.0027280249632895,2937937191.8707289695739746,2937.9371918707288387,2.9379371918707293
25,parallel_open_mp_csr,4007383,0.0037216099444777,2153574963.4087085723876953,2153.5749634087082995,2.1535749634087087
26,parallel_open_mp_csr,4007383,0.0026627948973328,3009907375.1523494720458984,3009.9073751523492319,3.0099073751523497
27,parallel_open_mp_csr,4007383,0.0026413497980684,3034344790.6298241615295410,3034.3447906298238195,3.0343447906298242
28,parallel_open_mp_csr,4007383,0.0026741579640657,2997117637.6636724472045898,2997.1176376636722125,2.9971176376636728
29,parallel_open_mp_csr,4007383,0.0026924028061330,2976807921.0670638084411621,2976.8079210670634893,2.9768079210670639
30,parallel_open_mp_csr,4007383,0.0026464720722288,3028471784.7977042198181152,3028.4717847977040037,3.0284717847977043
31,parallel_open_mp_csr,4007383,0.0027590440586209,2904906855.3135285377502441,2904.9068553135284674,2.9049068553135289
32,parallel_open_mp_csr,4007383,0.0023919029626995,3350790615.2490534782409668,3350.7906152490531895,3.3507906152490539
33,parallel_open_mp_csr,4007383,0.0023904689587653,3352800700.7210040092468262,3352.8007007210039774,3.3528007007210041
34,parallel_open_mp_csr,4007383,0.0030199741013348,2653918785.7463817596435547,2653.9187857463816727,2.6539187857463817
35,parallel_open_mp_csr,4007383,0.0026921138633043,2977127419.9237637519836426,2977.1274199237636822,2.9771274199237641
36,parallel_open_mp_csr,4007383,0.0036258150357753,2210472933.9251060485839844,2210.4729339251057354,2.2104729339251064
37,parallel_open_mp_csr,4007383,0.0047019410412759,1704565397.4906532764434814,1704.5653974906531403,1.7045653974906534
38,parallel_open_mp_csr,4007383,0.0018702121451497,4285484949.2801413536071777,4285.4849492801413362,4.2854849492801419
39,parallel_open_mp_csr,4007383,0.0018431050702929,4348512805.4724006652832031,4348.5128054724000322,4.3485128054724012
40,parallel_open_mp_csr,4007383,0.0017937400843948,4468186929.4926805496215820,4468.1869294926800649,4.4681869294926813
2,parallel_open_mp_hll,4007383,0.0038641120772809,2074154641.4046761989593506,2074.1546414046761129,2.0741546414046765
3,parallel_open_mp_hll,4007383,0.0025871729012579,3097885725.4199185371398926,3097.8857254199183444,3.0978857254199186
4,parallel_open_mp_hll,4007383,0.0018505391199142,4331043809.7475700378417969,4331.0438097475698669,4.3310438097475705
