threads_used,computation_type,non_zero_values,time_used,FLOPS,MFLOPS,GFLOPS
1,serial_csr,2624331,0.0051236539147794,1024398229.7203922271728516,1024.3982297203922371,1.0243982297203922
1,serial_hll,2624331,0.0056962831877172,921418726.3929579257965088,921.4187263929578648,0.9214187263929580
2,parallel_open_mp_csr,2624331,0.0031774807721376,1651831238.7674894332885742,1651.8312387674893671,1.6518312387674896
3,parallel_open_mp_csr,2624331,0.0019600410014391,2677832757.6547355651855469,2677.8327576547353601,2.6778327576547358
4,parallel_open_mp_csr,2624331,0.0015228223055601,3446667402.2544474601745605,3446.6674022544470972,3.4466674022544477
5,parallel_open_mp_csr,2624331,0.0013410639949143,3913804277.7260894775390625,3913.8042777260893672,3.9138042777260895
6,parallel_open_mp_csr,2624331,0.0010688719339669,4910468535.2910194396972656,4910.4685352910191796,4.9104685352910193
7,parallel_open_mp_csr,2624331,0.0009993701241910,5251970088.9083547592163086,5251.9700889083542279,5.2519700889083554
8,parallel_open_mp_csr,2624331,0.0009107808582485,5762815448.3766069412231445,5762.8154483766065823,5.7628154483766076
9,parallel_open_mp_csr,2624331,0.0008793300949037,5968932520.8126344680786133,5968.9325208126338111,5.9689325208126345
10,parallel_open_mp_csr,2624331,0.0008751382119954,5997523508.9241065979003906,5997.5235089241059541,5.9975235089241066
11,parallel_open_mp_csr,2624331,0.0011345129460096,4626357079.8912868499755859,4626.3570798912869577,4.6263570798912870
12,parallel_open_mp_csr,2624331,0.0011052312329412,4748926598.8554191589355469,4748.9265988554188880,4.7489265988554195
13,parallel_open_mp_csr,2624331,0.0010064309462905,5215123818.8228788375854492,5215.1238188228790023,5.2151238188228790
14,parallel_open_mp_csr,2624331,0.0009391740895808,5588593273.8443431854248047,5588.5932738443425478,5.5885932738443431
15,parallel_open_mp_csr,2624331,0.0009257132187486,5669857460.9266490936279297,5669.8574609266488551,5.6698574609266492
16,parallel_open_mp_csr,2624331,0.0008901706896722,5896242216.1221704483032227,5896.2422161221702481,5.8962422161221708
17,parallel_open_mp_csr,2624331,0.0008540633134544,6145518625.2773046493530273,6145.5186252773046363,6.1455186252773046
18,parallel_open_mp_csr,2624331,0.0008418005891144,6235041965.8432188034057617,6235.0419658432183496,6.2350419658432195
19,parallel_open_mp_csr,2624331,0.0008244570344687,6366204399.4599151611328125,6366.2043994599152938,6.3662043994599156
20,parallel_open_mp_csr,2624331,0.0008226060308516,6380529443.1969146728515625,6380.5294431969141442,6.3805294431969148
21,parallel_open_mp_csr,2624331,0.0016572298482060,3167129777.2494826316833496,3167.1297772494826859,3.1671297772494826
22,parallel_open_mp_csr,2624331,0.0016756900586188,3132239147.0928096771240234,3132.2391470928096169,3.1322391470928097
23,parallel_open_mp_csr,2624331,0.0025458401069045,2061662076.0138237476348877,2061.6620760138234800,2.0616620760138238
24,parallel_open_mp_csr,2624331,0.0015364340506494,3416132308.3028187751770020,3416.1323083028187284,3.4161323083028190
25,parallel_open_mp_csr,2624331,0.0015227077528834,3446926693.6226029396057129,3446.9266936226026701,3.4469266936226033
26,parallel_open_mp_csr,2624331,0.0015192609280348,3454746912.2300996780395508,3454.7469122300994968,3.4547469122301000
27,parallel_open_mp_csr,2624331,0.0006173122674227,8502442405.5487318038940430,8502.4424055487306759,8.5024424055487327
28,parallel_open_mp_csr,2624331,0.0014625159092247,3588789678.7271285057067871,3588.7896787271283756,3.5887896787271290
29,parallel_open_mp_csr,2624331,0.0006127343513072,8565966619.6337203979492188,8565.9666196337202564,8.5659666196337216
30,parallel_open_mp_csr,2624331,0.0015073670074344,3482006687.2324261665344238,3482.0066872324259748,3.4820066872324262
31,parallel_open_mp_csr,2624331,0.0006067878566682,8649912720.4349250793457031,8649.9127204349242675,8.6499127204349264
32,parallel_open_mp_csr,2624331,0.0005168500356376,10155096523.3560180664062500,10155.0965233560182241,10.1550965233560184
33,parallel_open_mp_csr,2624331,0.0005585211329162,9397427761.7663402557373047,9397.4277617663392448,9.3974277617663411
34,parallel_open_mp_csr,2624331,0.0005734609439969,9152605866.0907096862792969,9152.6058660907092417,9.1526058660907097
35,parallel_open_mp_csr,2624331,0.0005607791244984,9359588776.9450683593750000,9359.5887769450673659,9.3595887769450687
36,parallel_open_mp_csr,2624331,0.0005387510173023,9742277659.6914634704589844,9742.2776596914627589,9.7422776596914638
37,parallel_open_mp_csr,2624331,0.0015715621411800,3339773759.1584753990173340,3339.7737591584750589,3.3397737591584757
38,parallel_open_mp_csr,2624331,0.0005758046172559,9115352400.2867507934570312,9115.3524002867507079,9.1153524002867510
39,parallel_open_mp_csr,2624331,0.0005605621263385,9363211949.9110107421875000,9363.2119499110103789,9.3632119499110118
40,parallel_open_mp_csr,2624331,0.0005797659978271,9053069720.6663379669189453,9053.0697206663371617,9.0530697206663380
2,parallel_open_mp_hll,2624331,0.0042739608325064,1228055708.9059655666351318,1228.0557089059655027,1.2280557089059656
3,parallel_open_mp_hll,2624331,0.0033075986430049,1586849725.8880491256713867,1586.8497258880490790,1.5868497258880492
4,parallel_open_mp_hll,2624331,0.0032580057159066,1611004540.1008238792419434,1611.0045401008237604,1.6110045401008239
5,parallel_open_mp_hll,2624331,0.0032754223793745,1602438217.7550849914550781,1602.4382177550849065,1.6024382177550851
6,parallel_open_mp_hll,2624331,0.0031391340307891,1672009525.0856668949127197,1672.0095250856668372,1.6720095250856670
7,parallel_open_mp_hll,2624331,0.0027235201559961,1927161063.3923821449279785,1927.1610633923819478,1.9271610633923824
8,parallel_open_mp_hll,2624331,0.0024000830017030,2186866869.3023171424865723,2186.8668693023168998,2.1868668693023174
9,parallel_open_mp_hll,2624331,0.0022283177822828,2355436931.7211747169494629,2355.4369317211744601,2.3554369317211750
10,parallel_open_mp_hll,2624331,0.0020300708711147,2585457520.0706715583801270,2585.4575200706713076,2.5854575200706718
11,parallel_open_mp_hll,2624331,0.0024404330179095,2150709305.0625910758972168,2150.7093050625908290,2.1507093050625912
12,parallel_open_mp_hll,2624331,0.0017022201791406,3083421324.8781905174255371,3083.4213248781902621,3.0834213248781905
13,parallel_open_mp_hll,2624331,0.0021443231962621,2447700985.1636214256286621,2447.7009851636212261,2.4477009851636216
14,parallel_open_mp_hll,2624331,0.0020452607423067,2566255681.4542846679687500,2566.2556814542845132,2.5662556814542850
15,parallel_open_mp_hll,2624331,0.0014471062459052,3627005283.7184576988220215,3627.0052837184575765,3.6270052837184581
16,parallel_open_mp_hll,2624331,0.0017829742282629,2943767731.9170312881469727,2943.7677319170311421,2.9437677319170317
17,parallel_open_mp_hll,2624331,0.0017074141651392,3074041499.2235341072082520,3074.0414992235341742,3.0740414992235343
18,parallel_open_mp_hll,2624331,0.0016415850259364,3197313521.4279546737670898,3197.3135214279545835,3.1973135214279549
19,parallel_open_mp_hll,2624331,0.0017126351594925,3064670236.9203624725341797,3064.6702369203621856,3.0646702369203624
20,parallel_open_mp_hll,2624331,0.0016228179447353,3234288859.7131905555725098,3234.2888597131905044,3.2342888597131907
21,parallel_open_mp_hll,2624331,0.0059994771145284,874853241.3416106700897217,874.8532413416106692,0.8748532413416107
22,parallel_open_mp_hll,2624331,0.0028900038450956,1816143604.4132025241851807,1816.1436044132024108,1.8161436044132027
23,parallel_open_mp_hll,2624331,0.0017943168058991,2925159025.8443036079406738,2925.1590258443034145,2.9251590258443039
24,parallel_open_mp_hll,2624331,0.0020157387480140,2603840405.9907550811767578,2603.8404059907547889,2.6038404059907552
25,parallel_open_mp_hll,2624331,0.0037249638698995,1409050445.4051506519317627,1409.0504454051506400,1.4090504454051507
26,parallel_open_mp_hll,2624331,0.0014432594180107,3636672613.7386932373046875,3636.6726137386931441,3.6366726137386935
27,parallel_open_mp_hll,2624331,0.0021965168416500,2389538700.7628126144409180,2389.5387007628123683,2.3895387007628126
28,parallel_open_mp_hll,2624331,0.0025875265710056,2028447575.6939678192138672,2028.4475756939677922,2.0284475756939679
29,parallel_open_mp_hll,2624331,0.0017262650653720,3040472813.4082779884338379,3040.4728134082779434,3.0404728134082784
30,parallel_open_mp_hll,2624331,0.0014829155988991,3539420587.3189654350280762,3539.4205873189653175,3.5394205873189657
31,parallel_open_mp_hll,2624331,0.0017284261994064,3036671164.6714291572570801,3036.6711646714288690,3.0366711646714295
32,parallel_open_mp_hll,2624331,0.0019540153443813,2686090472.6732311248779297,2686.0904726732310337,2.6860904726732313
33,parallel_open_mp_hll,2624331,0.0028508240357041,1841103461.4079971313476562,1841.1034614079969742,1.8411034614079973
34,parallel_open_mp_hll,2624331,0.0029540657997131,1776758662.7588627338409424,1776.7586627588625561,1.7767586627588627
35,parallel_open_mp_hll,2624331,0.0017363880760968,3022747087.6202211380004883,3022.7470876202210093,3.0227470876202212
36,parallel_open_mp_hll,2624331,0.0028783772140741,1823479554.4990081787109375,1823.4795544990081453,1.8234795544990083
37,parallel_open_mp_hll,2624331,0.0015669250860810,3349657266.0836091041564941,3349.6572660836091018,3.3496572660836095
38,parallel_open_mp_hll,2624331,0.0012542172335088,4184810940.0603828430175781,4184.8109400603825634,4.1848109400603830
39,parallel_open_mp_hll,2624331,0.0012674173340201,4141226302.5878772735595703,4141.2263025878773988,4.1412263025878779
40,parallel_open_mp_hll,2624331,0.0013263658620417,3957175128.0755891799926758,3957.1751280755888729,3.9571751280755896
4,cuda_csr_kernel_1,2624331,0.0002079999976559,25233952207.4610061645507812,25233.9522074610067648,25.2339522074610088
8,cuda_csr_kernel_1,2624331,0.0001434559962945,36587261150.2752075195312500,36587.2611502752042725,36.5872611502752108
16,cuda_csr_kernel_1,2624331,0.0001309760118602,40073460211.9577102661132812,40073.4602119577102712,40.0734602119577161
32,cuda_csr_kernel_1,2624331,0.0002043520071311,25684416187.9602775573730469,25684.4161879602761474,25.6844161879602808
4,cuda_csr_kernel_2,2624331,0.0002012160111917,26084713482.3634071350097656,26084.7134823634041823,26.0847134823634086
8,cuda_csr_kernel_2,2624331,0.0002081600105157,25214554836.9090995788574219,25214.5548369090975029,25.2145548369091017
16,cuda_csr_kernel_2,2624331,0.0002151680091629,24393319529.3302383422851562,24393.3195293302378559,24.3933195293302383
32,cuda_csr_kernel_2,2624331,0.0002741120115388,19147873055.7442512512207031,19147.8730557442504505,19.1478730557442525
4,cuda_csr_kernel_3,2624331,0.0002256640000269,23258747515.6638412475585938,23258.7475156638392946,23.2587475156638419
8,cuda_csr_kernel_3,2624331,0.0002427839935990,21618649245.3409805297851562,21618.6492453409809968,21.6186492453409826
16,cuda_csr_kernel_3,2624331,0.0002714880101848,19332942167.2305564880371094,19332.9421672305543325,19.3329421672305592
32,cuda_csr_kernel_3,2624331,0.0003275519993622,16023904632.6087989807128906,16023.9046326087991474,16.0239046326088008
4,cuda_csr_kernel_4,2624331,0.0002042240084847,25700514052.8915786743164062,25700.5140528915762843,25.7005140528915810
8,cuda_csr_kernel_4,2624331,0.0002089280169457,25121867697.4453926086425781,25121.8676974453919684,25.1218676974453956
16,cuda_csr_kernel_4,2624331,0.0002168320061173,24206122029.6044311523437500,24206.1220296044302813,24.2061220296044333
32,cuda_csr_kernel_4,2624331,0.0002800320216920,18743077910.4699783325195312,18743.0779104699759046,18.7430779104699781
32,cuda_hll_kernel_1,3123448,0.0005003199912608,12485801305.3971996307373047,12485.8013053971990303,12.4858013053972012
64,cuda_hll_kernel_1,3123448,0.0006176000460982,10114791991.1366081237792969,10114.7919911366079759,10.1147919911366095
96,cuda_hll_kernel_1,3123448,0.0007065600366332,8841281244.5027980804443359,8841.2812445027975627,8.8412812445027988
128,cuda_hll_kernel_1,3123448,0.0008848959696479,7059469377.4970397949218750,7059.4693774970392042,7.0594693774970398
160,cuda_hll_kernel_1,3123448,0.0011642239987850,5365716568.7352638244628906,5365.7165687352635359,5.3657165687352641
32,cuda_hll_kernel_2,3123448,0.0002323840017198,26881781679.3309478759765625,26881.7816793309466448,26.8817816793309490
64,cuda_hll_kernel_2,3123448,0.0002822079986800,22135786473.8785820007324219,22135.7864738785792724,22.1357864738785821
96,cuda_hll_kernel_2,3123448,0.0002752639993560,22694199076.5811805725097656,22694.1990765811788151,22.6941990765811816
128,cuda_hll_kernel_2,3123448,0.0002761920040939,22617946600.2070350646972656,22617.9466002070330433,22.6179466002070377
160,cuda_hll_kernel_2,3123448,0.0002771840081550,22537000029.6206016540527344,22537.0000296206017083,22.5370000296206037
32,cuda_hll_kernel_3,3123448,0.0001930239959620,32363313011.2486228942871094,32363.3130112486214784,32.3633130112486214
64,cuda_hll_kernel_3,3123448,0.0002942080027424,21232923447.9390678405761719,21232.9234479390652268,21.2329234479390685
96,cuda_hll_kernel_3,3123448,0.0003312960034236,18855935282.7810516357421875,18855.9352827810507733,18.8559352827810542
128,cuda_hll_kernel_3,3123448,0.0003552959824447,17582230896.6666145324707031,17582.2308966666132619,17.5822308966666156
160,cuda_hll_kernel_3,3123448,0.0003513279953040,17780809054.4970932006835938,17780.8090544970909832,17.7808090544970945
32,cuda_hll_kernel_4,3123448,0.0002792000013869,22374269229.8300628662109375,22374.2692298300607945,22.3742692298300625
64,cuda_hll_kernel_4,3123448,0.0002080319973174,30028534458.8962135314941406,30028.5344588962107082,30.0285344588962140
96,cuda_hll_kernel_4,3123448,0.0002079359983327,30042397901.7105674743652344,30042.3979017105666571,30.0423979017105687
128,cuda_hll_kernel_4,3123448,0.0002043199929176,30574080934.5055847167968750,30574.0809345055822632,30.5740809345055879
160,cuda_hll_kernel_4,3123448,0.0002139839925803,29193286491.5354194641113281,29193.2864915354184632,29.1932864915354209
