threads_used,computation_type,non_zero_values,time_used,FLOPS,MFLOPS,GFLOPS
1,serial_csr,492564,0.0006676530465484,1475508881.5859012603759766,1475.5088815859012357,1.4755088815859014
1,serial_hll,492564,0.0009854407981038,999682580.5219235420227051,999.6825805219234553,0.9996825805219236
2,parallel_open_mp_csr,492564,0.0007922709919512,1243423033.2904138565063477,1243.4230332904137413,1.2434230332904139
3,parallel_open_mp_csr,492564,0.0004741838201880,2077523437.2386031150817871,2077.5234372386030373,2.0775234372386033
4,parallel_open_mp_csr,492564,0.0002862359397113,3441664247.3111419677734375,3441.6642473111419349,3.4416642473111421
5,parallel_open_mp_csr,492564,0.0001981169916689,4972455879.2321224212646484,4972.4558792321222427,4.9724558792321227
6,parallel_open_mp_csr,492564,0.0001792381517589,5496195928.8951053619384766,5496.1959288951047711,5.4961959288951059
7,parallel_open_mp_csr,492564,0.0001402157358825,7025802017.1529569625854492,7025.8020171529569780,7.0258020171529578
8,parallel_open_mp_csr,492564,0.0001690969802439,5825816632.4375476837158203,5825.8166324375470140,5.8258166324375482
9,parallel_open_mp_csr,492564,0.0001468001864851,6710672674.1134653091430664,6710.6726741134652912,6.7106726741134661
10,parallel_open_mp_csr,492564,0.0001367870718241,7201908680.8657217025756836,7201.9086808657211805,7.2019086808657224
11,parallel_open_mp_csr,492564,0.0001307632774115,7533674740.3492155075073242,7533.6747403492154262,7.5336747403492161
12,parallel_open_mp_csr,492564,0.0001903111115098,5176408209.6135063171386719,5176.4082096135061875,5.1764082096135065
13,parallel_open_mp_csr,492564,0.0001787878572941,5510038628.5159921646118164,5510.0386285159920590,5.5100386285159928
14,parallel_open_mp_csr,492564,0.0001759249716997,5599705320.2970495223999023,5599.7053202970491839,5.5997053202970495
15,parallel_open_mp_csr,492564,0.0001681568101048,5858388960.7906198501586914,5858.3889607906194215,5.8583889607906201
16,parallel_open_mp_csr,492564,0.0001625576987863,6060174371.0416908264160156,6060.1743710416903923,6.0601743710416915
17,parallel_open_mp_csr,492564,0.0001536342315376,6412164724.8844261169433594,6412.1647248844255955,6.4121647248844269
18,parallel_open_mp_csr,492564,0.0001514307223260,6505469860.1975555419921875,6505.4698601975551355,6.5054698601975556
19,parallel_open_mp_csr,492564,0.0001419158652425,6941634033.0715246200561523,6941.6340330715247546,6.9416340330715247
20,parallel_open_mp_csr,492564,0.0001397081650794,7051327311.0447072982788086,7051.3273110447071303,7.0513273110447079
21,parallel_open_mp_csr,492564,0.0001350557431579,7294232566.2412300109863281,7294.2325662412295060,7.2942325662412308
22,parallel_open_mp_csr,492564,0.0049149333499372,200435678.3419224321842194,200.4356783419224257,0.2004356783419224
23,parallel_open_mp_csr,492564,0.0008911821059883,1105417168.2537946701049805,1105.4171682537946708,1.1054171682537948
24,parallel_open_mp_csr,492564,0.0046241017989814,213042022.6079362332820892,213.0420226079362180,0.2130420226079363
25,parallel_open_mp_csr,492564,0.0016378881409764,601462319.2843406200408936,601.4623192843405377,0.6014623192843407
26,parallel_open_mp_csr,492564,0.0026803896762431,367531634.9452561140060425,367.5316349452560871,0.3675316349452561
27,parallel_open_mp_csr,492564,0.0006297002546489,1564439576.9686284065246582,1564.4395769686284439,1.5644395769686286
28,parallel_open_mp_csr,492564,0.0005800463259220,1698360899.7679457664489746,1698.3608997679457389,1.6983608997679458
29,parallel_open_mp_csr,492564,0.0006716717034578,1466680812.8561372756958008,1466.6808128561372087,1.4666808128561373
30,parallel_open_mp_csr,492564,0.0006275470368564,1569807428.1966598033905029,1569.8074281966596573,1.5698074281966599
31,parallel_open_mp_csr,492564,0.0005694059655070,1730097785.5453054904937744,1730.0977855453054417,1.7300977855453057
32,parallel_open_mp_csr,492564,0.0004421612247825,2227983696.4099693298339844,2227.9836964099690704,2.2279836964099693
33,parallel_open_mp_csr,492564,0.0006207628175616,1586963606.9209332466125488,1586.9636069209332163,1.5869636069209334
34,parallel_open_mp_csr,492564,0.0006086407229304,1618570632.6991889476776123,1618.5706326991887636,1.6185706326991891
35,parallel_open_mp_csr,492564,0.0006135860458016,1605525429.9548928737640381,1605.5254299548928429,1.6055254299548929
36,parallel_open_mp_csr,492564,0.0006155450828373,1600415676.2313354015350342,1600.4156762313352829,1.6004156762313355
37,parallel_open_mp_csr,492564,0.0006020567379892,1636271032.0130867958068848,1636.2710320130868240,1.6362710320130869
38,parallel_open_mp_csr,492564,0.0006134579889476,1605860576.8423678874969482,1605.8605768423678910,1.6058605768423679
39,parallel_open_mp_csr,492564,0.0005961488932371,1652486503.2470543384552002,1652.4865032470543156,1.6524865032470544
40,parallel_open_mp_csr,492564,0.0006044716574252,1629733979.9127981662750244,1629.7339799127980768,1.6297339799127983
2,parallel_open_mp_hll,492564,0.0010488322004676,939261780.4457317590713501,939.2617804457316879,0.9392617804457318
3,parallel_open_mp_hll,492564,0.0006903149187565,1427070418.4904239177703857,1427.0704184904238900,1.4270704184904239
4,parallel_open_mp_hll,492564,0.0004077036865056,2416284258.9027581214904785,2416.2842589027582108,2.4162842589027584
5,parallel_open_mp_hll,492564,0.0003661662340164,2690384608.0898547172546387,2690.3846080898547370,2.6903846080898548
6,parallel_open_mp_hll,492564,0.0002448703162372,4023060104.3765754699707031,4023.0601043765755094,4.0230601043765759
7,parallel_open_mp_hll,492564,0.0002146558836102,4589336119.8927135467529297,4589.3361198927132136,4.5893361198927138
8,parallel_open_mp_hll,492564,0.0002151471562684,4578856709.4571590423583984,4578.8567094571590133,4.5788567094571597
9,parallel_open_mp_hll,492564,0.0001993472687900,4941768231.7872056961059570,4941.7682317872058775,4.9417682317872060
10,parallel_open_mp_hll,492564,0.0001935311593115,5090281087.0584907531738281,5090.2810870584908116,5.0902810870584911
11,parallel_open_mp_hll,492564,0.0001668748445809,5903394262.1740198135375977,5903.3942621740197865,5.9033942621740199
12,parallel_open_mp_hll,492564,0.0001931120641530,5101328103.5602273941040039,5101.3281035602267366,5.1013281035602276
13,parallel_open_mp_hll,492564,0.0002076947130263,4743153957.2956075668334961,4743.1539572956071424,4.7431539572956076
14,parallel_open_mp_hll,492564,0.0001757880672812,5604066392.1964492797851562,5604.0663921964487599,5.6040663921964500
15,parallel_open_mp_hll,492564,0.0001773950643837,5553299937.7533292770385742,5553.2999377533287770,5.5532999377533292
16,parallel_open_mp_hll,492564,0.0001920307986438,5130052090.3794384002685547,5130.0520903794385958,5.1300520903794391
17,parallel_open_mp_hll,492564,0.0001865937374532,5279534101.4430589675903320,5279.5341014430587165,5.2795341014430592
18,parallel_open_mp_hll,492564,0.0001766793429852,5575796147.7295207977294922,5575.7961477295202712,5.5757961477295215
19,parallel_open_mp_hll,492564,0.0001848298124969,5329919382.0072708129882812,5329.9193820072705421,5.3299193820072714
20,parallel_open_mp_hll,492564,0.0001740083098412,5661384797.6529226303100586,5661.3847976529223160,5.6613847976529232
21,parallel_open_mp_hll,492564,0.0001771859824657,5559852908.7393140792846680,5559.8529087393135342,5.5598529087393143
22,parallel_open_mp_hll,492564,0.0005180928856134,1901450545.5591642856597900,1901.4505455591643113,1.9014505455591644
23,parallel_open_mp_hll,492564,0.0007616621442139,1293392362.3271529674530029,1293.3923623271527958,1.2933923623271530
24,parallel_open_mp_hll,492564,0.0006675957702100,1475635472.7802958488464355,1475.6354727802956859,1.4756354727802958
25,parallel_open_mp_hll,492564,0.0004449207335711,2214165188.6912522315979004,2214.1651886912522968,2.2141651886912523
