threads_used,computation_type,non_zero_values,time_used,FLOPS,MFLOPS,GFLOPS
1,serial_csr,1273389,0.0016700769774616,1524946475.1444931030273438,1524.9464751444929789,1.5249464751444932
1,serial_hll,1273389,0.0051806280389428,491596381.9166042208671570,491.5963819166041731,0.4915963819166043
2,parallel_open_mp_csr,1273389,0.0011652191169560,2185664449.6643447875976562,2185.6644496643448292,2.1856644496643449
3,parallel_open_mp_csr,1273389,0.0007687248289585,3312990427.8627786636352539,3312.9904278627786880,3.3129904278627791
4,parallel_open_mp_csr,1273389,0.0005352459847927,4758144988.2082138061523438,4758.1449882082133627,4.7581449882082145
5,parallel_open_mp_csr,1273389,0.0004482348449528,5681793882.5529222488403320,5681.7938825529217866,5.6817938825529222
6,parallel_open_mp_csr,1273389,0.0003844969905913,6623661725.1113224029541016,6623.6617251113220846,6.6236617251113232
7,parallel_open_mp_csr,1273389,0.0003433860838413,7416660487.5486078262329102,7416.6604875486073070,7.4166604875486080
8,parallel_open_mp_csr,1273389,0.0003558648750186,7156587173.3390703201293945,7156.5871733390704321,7.1565871733390711
9,parallel_open_mp_csr,1273389,0.0004811435937881,5293176575.3102293014526367,5293.1765753102290546,5.2931765753102296
10,parallel_open_mp_csr,1273389,0.0003103050403297,8207336875.0120334625244141,8207.3368750120334880,8.2073368750120341
11,parallel_open_mp_csr,1273389,0.0003781300038099,6735191532.9103727340698242,6735.1915329103721888,6.7351915329103731
12,parallel_open_mp_csr,1273389,0.0003837938420475,6635796933.0969934463500977,6635.7969330969935982,6.6357969330969935
13,parallel_open_mp_csr,1273389,0.0003511593677104,7252484866.3603591918945312,7252.4848663603588648,7.2524848663603594
14,parallel_open_mp_csr,1273389,0.0003448263742030,7385682159.2798252105712891,7385.6821592798251004,7.3856821592798259
15,parallel_open_mp_csr,1273389,0.0003227703273296,7890372145.0176935195922852,7890.3721450176935832,7.8903721450176940
16,parallel_open_mp_csr,1273389,0.0002970448695123,8573714820.1927642822265625,8573.7148201927629998,8.5737148201927642
17,parallel_open_mp_csr,1273389,0.0002857730723917,8911889348.7234554290771484,8911.8893487234545319,8.9118893487234558
18,parallel_open_mp_csr,1273389,0.0002814009785652,9050352322.8145828247070312,9050.3523228145822941,9.0503523228145841
19,parallel_open_mp_csr,1273389,0.0002756319008768,9239779546.1952209472656250,9239.7795461952209735,9.2397795461952210
20,parallel_open_mp_csr,1273389,0.0002783969976008,9148008139.2685890197753906,9148.0081392685879109,9.1480081392685904
21,parallel_open_mp_csr,1273389,0.0019284887239337,1320608188.3668615818023682,1320.6081883668614410,1.3206081883668617
22,parallel_open_mp_csr,1273389,0.0012941299937665,1967946042.7214426994323730,1967.9460427214426090,1.9679460427214428
23,parallel_open_mp_csr,1273389,0.0003854562528431,6607177808.6744165420532227,6607.1778086744161556,6.6071778086744173
24,parallel_open_mp_csr,1273389,0.0002930313348770,8691145610.9937458038330078,8691.1456109937462315,8.6911456109937468
25,parallel_open_mp_csr,1273389,0.0002918802201748,8725421676.3125934600830078,8725.4216763125932630,8.7254216763125942
26,parallel_open_mp_csr,1273389,0.0003557936288416,7158020249.8048505783081055,7158.0202498048502093,7.1580202498048511
27,parallel_open_mp_csr,1273389,0.0003341929987073,7620680295.0728940963745117,7620.6802950728933865,7.6206802950728942
28,parallel_open_mp_csr,1273389,0.0003310767933726,7692408682.7601032257080078,7692.4086827601031473,7.6924086827601039
29,parallel_open_mp_csr,1273389,0.0003262292593718,7806712386.5728921890258789,7806.7123865728917735,7.8067123865728929
30,parallel_open_mp_csr,1273389,0.0002558003179729,9956117412.9182510375976562,9956.1174129182509205,9.9561174129182515
31,parallel_open_mp_csr,1273389,0.0003458759747446,7363269454.8411054611206055,7363.2694548411054711,7.3632694548411060
32,parallel_open_mp_csr,1273389,0.0012990231625736,1960533170.9054508209228516,1960.5331709054507883,1.9605331709054510
33,parallel_open_mp_csr,1273389,0.0003258287906647,7816307438.0404281616210938,7816.3074380404277690,7.8163074380404289
34,parallel_open_mp_csr,1273389,0.0002968641929328,8578932928.3512659072875977,8578.9329283512652182,8.5789329283512661
35,parallel_open_mp_csr,1273389,0.0002739340998232,9297046266.3953800201416016,9297.0462663953803713,9.2970462663953803
36,parallel_open_mp_csr,1273389,0.0003184759989381,7996765874.0121593475341797,7996.7658740121587471,7.9967658740121594
37,parallel_open_mp_csr,1273389,0.0002991240471601,8514119891.6597814559936523,8514.1198916597804782,8.5141198916597816
38,parallel_open_mp_csr,1273389,0.0002883961424232,8830832405.0437793731689453,8830.8324050437786354,8.8308324050437808
39,parallel_open_mp_csr,1273389,0.0002976600080729,8555996542.7961330413818359,8555.9965427961324167,8.5559965427961338
40,parallel_open_mp_csr,1273389,0.0002802573144436,9087284679.9958534240722656,9087.2846799958533666,9.0872846799958538
2,parallel_open_mp_hll,1273389,0.0035646483302116,714454208.1234681606292725,714.4542081234681064,0.7144542081234682
3,parallel_open_mp_hll,1273389,0.0023518949747086,1082862129.2137386798858643,1082.8621292137386263,1.0828621292137388
4,parallel_open_mp_hll,1273389,0.0018388694152236,1384969470.3255059719085693,1384.9694703255058812,1.3849694703255060
5,parallel_open_mp_hll,1273389,0.0016786158084869,1517189333.6901197433471680,1517.1893336901196108,1.5171893336901199
6,parallel_open_mp_hll,1273389,0.0015875156968832,1604253743.7583360671997070,1604.2537437583359861,1.6042537437583362
7,parallel_open_mp_hll,1273389,0.0016535450704396,1540192671.8108546733856201,1540.1926718108545629,1.5401926718108547
8,parallel_open_mp_hll,1273389,0.0015648882836103,1627450359.6667900085449219,1627.4503596667898364,1.6274503596667902
9,parallel_open_mp_hll,1273389,0.0015857862308621,1606003350.5369756221771240,1606.0033505369756313,1.6060033505369757
10,parallel_open_mp_hll,1273389,0.0015643080696464,1628053993.5945913791656494,1628.0539935945912475,1.6280539935945915
11,parallel_open_mp_hll,1273389,0.0017373953014612,1465859840.7961945533752441,1465.8598407961944758,1.4658598407961947
12,parallel_open_mp_hll,1273389,0.0017601293511689,1446926612.6996459960937500,1446.9266126996458297,1.4469266126996461
13,parallel_open_mp_hll,1273389,0.0017096940428019,1489610384.2219188213348389,1489.6103842219188209,1.4896103842219188
14,parallel_open_mp_hll,1273389,0.0016558649949729,1538034808.2312185764312744,1538.0348082312184488,1.5380348082312187
15,parallel_open_mp_hll,1273389,0.0015770234167576,1614927193.1778073310852051,1614.9271931778073395,1.6149271931778075
16,parallel_open_mp_hll,1273389,0.0015427032485604,1650854111.0395159721374512,1650.8541110395158285,1.6508541110395161
17,parallel_open_mp_hll,1273389,0.0016038506291807,1587914705.8108687400817871,1587.9147058108687816,1.5879147058108689
18,parallel_open_mp_hll,1273389,0.0015719910152256,1620097045.9328145980834961,1620.0970459328145807,1.6200970459328148
19,parallel_open_mp_hll,1273389,0.0015620351769030,1630422949.2765998840332031,1630.4229492765998657,1.6304229492766000
20,parallel_open_mp_hll,1273389,0.0015557138249278,1637047867.7967548370361328,1637.0478677967548720,1.6370478677967550
21,parallel_open_mp_hll,1273389,0.0039601838216186,643095905.3206557035446167,643.0959053206556746,0.6430959053206557
22,parallel_open_mp_hll,1273389,0.0018478059209883,1378271370.9661808013916016,1378.2713709661807115,1.3782713709661809
23,parallel_open_mp_hll,1273389,0.0026364629156888,965982864.7104927301406860,965.9828647104926631,0.9659828647104928
24,parallel_open_mp_hll,1273389,0.0036396207287908,699737195.1022353172302246,699.7371951022353187,0.6997371951022353
25,parallel_open_mp_hll,1273389,0.0026281098835170,969053088.6752018928527832,969.0530886752018205,0.9690530886752019
26,parallel_open_mp_hll,1273389,0.0022808108478785,1116610788.8205366134643555,1116.6107888205365271,1.1166107888205368
27,parallel_open_mp_hll,1273389,0.0017140978015959,1485783365.2366855144500732,1485.7833652366855404,1.4857833652366856
28,parallel_open_mp_hll,1273389,0.0028439061716199,895521105.9404791593551636,895.5211059404791740,0.8955211059404792
29,parallel_open_mp_hll,1273389,0.0037824213504791,673319486.1216070652008057,673.3194861216070422,0.6733194861216071
30,parallel_open_mp_hll,1273389,0.0029103187844157,875085579.5033785104751587,875.0855795033784261,0.8750855795033786
31,parallel_open_mp_hll,1273389,0.0020398320630193,1248523369.2377419471740723,1248.5233692377419175,1.2485233692377420
32,parallel_open_mp_hll,1273389,0.0025697140954435,991074456.3046307563781738,991.0744563046307576,0.9910744563046309
33,parallel_open_mp_hll,1273389,0.0036740712821484,693175990.4535133838653564,693.1759904535133501,0.6931759904535134
34,parallel_open_mp_hll,1273389,0.0024624322541058,1034253021.8866152763366699,1034.2530218866152154,1.0342530218866153
35,parallel_open_mp_hll,1273389,0.0016959793865681,1501656223.0473685264587402,1501.6562230473684849,1.5016562230473687
36,parallel_open_mp_hll,1273389,0.0017466088756919,1458127251.8674995899200439,1458.1272518674995808,1.4581272518674997
