threads_used,computation_type,non_zero_values,time_used,FLOPS,MFLOPS,GFLOPS
1,serial_csr,102252,0.0001062890514731,1924036362.7826545238494873,1924.0363627826543507,1.9240363627826547
1,serial_hll,102252,0.0001911888830364,1069643782.3798136711120605,1069.6437823798137288,1.0696437823798137
2,parallel_open_mp_csr,102252,0.0003438629209995,594725361.5061372518539429,594.7253615061372329,0.5947253615061373
3,parallel_open_mp_csr,102252,0.0049457629211247,41349333.4115365445613861,41.3493334115365414,0.0413493334115365
4,parallel_open_mp_csr,102252,0.0000886800698936,2306087492.3234839439392090,2306.0874923234837297,2.3060874923234840
5,parallel_open_mp_csr,102252,0.0000843112356961,2425584185.9226212501525879,2425.5841859226211454,2.4255841859226215
6,parallel_open_mp_csr,102252,0.0000547468662262,3735446685.7528576850891113,3735.4466857528573200,3.7354466857528581
7,parallel_open_mp_csr,102252,0.0001007821410894,2029169035.2015080451965332,2029.1690352015079952,2.0291690352015084
8,parallel_open_mp_csr,102252,0.0000666561536491,3068043815.9783711433410645,3068.0438159783711853,3.0680438159783714
9,parallel_open_mp_csr,102252,0.0000678338110447,3014779751.4319291114807129,3014.7797514319290713,3.0147797514319294
10,parallel_open_mp_csr,102252,0.0000659800134599,3099484060.0362195968627930,3099.4840600362194891,3.0994840600362199
11,parallel_open_mp_csr,102252,0.0000694030895829,2946612337.1304197311401367,2946.6123371304197462,2.9466123371304200
12,parallel_open_mp_csr,102252,0.0000767428427935,2664795732.8134756088256836,2664.7957328134752970,2.6647957328134759
13,parallel_open_mp_csr,102252,0.0000683851540089,2990473633.6996240615844727,2990.4736336996238606,2.9904736336996240
14,parallel_open_mp_csr,102252,0.0000763759016991,2677598502.2838745117187500,2677.5985022838744953,2.6775985022838746
15,parallel_open_mp_csr,102252,0.0000652889721096,3132290085.0213756561279297,3132.2900850213754893,3.1322900850213760
16,parallel_open_mp_csr,102252,0.0000720149837434,2839742361.5145845413208008,2839.7423615145844451,2.8397423615145847
