threads_used,computation_type,non_zero_values,time_used,FLOPS,MFLOPS,GFLOPS
1,serial_csr,28192672,0.0324342958629131,1738448222.7799370288848877,1738.4482227799369412,1.7384482227799372
1,serial_hll,28192672,0.0335683780722320,1679716067.2663640975952148,1679.7160672663640071,1.6797160672663642
2,parallel_open_mp_csr,28192672,0.0189644373022020,2973214712.4372110366821289,2973.2147124372108919,2.9732147124372110
3,parallel_open_mp_csr,28192672,0.0127852521836758,4410186298.2407894134521484,4410.1862982407892559,4.4101862982407898
4,parallel_open_mp_csr,28192672,0.0112250382080674,5023176131.3271913528442383,5023.1761313271908875,5.0231761313271921
5,parallel_open_mp_csr,28192672,0.0108366250060499,5203220003.3240222930908203,5203.2200033240224002,5.2032200033240228
6,parallel_open_mp_csr,28192672,0.0107754841446877,5232743442.6970176696777344,5232.7434426970175991,5.2327434426970179
7,parallel_open_mp_csr,28192672,0.0107426163740456,5248753379.6913938522338867,5248.7533796913940023,5.2487533796913945
8,parallel_open_mp_csr,28192672,0.0105916908942163,5323545084.8353013992309570,5323.5450848353011679,5.3235450848353016
9,parallel_open_mp_csr,28192672,0.0110511640086770,5102208595.9205837249755859,5102.2085959205833205,5.1022085959205841
10,parallel_open_mp_csr,28192672,0.0108131300657988,5214525642.1490058898925781,5214.5256421490057619,5.2145256421490060
11,parallel_open_mp_csr,28192672,0.0122608081437647,4598827690.5446004867553711,4598.8276905446000455,4.5988276905446011
12,parallel_open_mp_csr,28192672,0.0115813137963414,4868648323.6308078765869141,4868.6483236308076812,4.8686483236308078
13,parallel_open_mp_csr,28192672,0.0112570952624083,5008871532.6317090988159180,5008.8715326317087602,5.0088715326317095
14,parallel_open_mp_csr,28192672,0.0112183811143041,5026156931.6900386810302734,5026.1569316900386184,5.0261569316900392
15,parallel_open_mp_csr,28192672,0.0111659877002239,5049740830.2598476409912109,5049.7408302598478258,5.0497408302598483
