threads_used,computation_type,non_zero_values,time_used,FLOPS,MFLOPS,GFLOPS
1,serial_csr,1015156,0.0012970389798284,1565343857.4904503822326660,1565.3438574904503184,1.5653438574904506
1,serial_hll,1015156,0.0014706270303577,1380575739.5239379405975342,1380.5757395239379548,1.3805757395239380
2,parallel_open_mp_csr,1015156,0.0010530839208513,1927967904.3609600067138672,1927.9679043609598921,1.9279679043609601
3,parallel_open_mp_csr,1015156,0.0006120321340859,3317329086.0493650436401367,3317.3290860493648324,3.3173290860493654
4,parallel_open_mp_csr,1015156,0.0004667460452765,4349928661.5211620330810547,4349.9286615211622120,4.3499286615211625
5,parallel_open_mp_csr,1015156,0.0003198680933565,6347341426.5712194442749023,6347.3414265712190172,6.3473414265712202
6,parallel_open_mp_csr,1015156,0.0002694260329008,7535693481.9563770294189453,7535.6934819563766723,7.5356934819563772
7,parallel_open_mp_csr,1015156,0.0002280808985233,8901718702.2012577056884766,8901.7187022012567468,8.9017187022012578
8,parallel_open_mp_csr,1015156,0.0002043510321528,9935413482.4342231750488281,9935.4134824342236243,9.9354134824342246
9,parallel_open_mp_csr,1015156,0.0002223060000688,9132960870.9247646331787109,9132.9608709247640945,9.1329608709247658
10,parallel_open_mp_csr,1015156,0.0002148998901248,9447710740.2006874084472656,9447.7107402006877237,9.4477107402006872
11,parallel_open_mp_csr,1015156,0.0002052679192275,9891034154.9766426086425781,9891.0341549766417302,9.8910341549766425
12,parallel_open_mp_csr,1015156,0.0001948080025613,10422118051.1350059509277344,10422.1180511350048619,10.4221180511350067
13,parallel_open_mp_csr,1015156,0.0002029731404036,10002860457.1154689788818359,10002.8604571154683072,10.0028604571154691
14,parallel_open_mp_csr,1015156,0.0001844989601523,11004463105.5067615509033203,11004.4631055067602574,11.0044631055067619
15,parallel_open_mp_csr,1015156,0.0001853150315583,10956002774.9909572601318359,10956.0027749909568229,10.9560027749909583
16,parallel_open_mp_csr,1015156,0.0001825280487537,11123287702.1505813598632812,11123.2877021505810262,11.1232877021505825
