threads_used,computation_type,non_zero_values,time_used,FLOPS,MFLOPS,GFLOPS
1,serial_csr,3996,0.0000047958455980,1666442306.5167491436004639,1666.4423065167491131,1.6664423065167493
1,serial_hll,3996,0.0000075288116932,1061522100.1246907711029053,1061.5221001246907235,1.0615221001246908
2,parallel_open_mp_csr,3996,0.0000924039632082,86489796.7849382162094116,86.4897967849382070,0.0864897967849382
3,parallel_open_mp_csr,3996,0.0000711940228939,112256614.7429229170084000,112.2566147429229062,0.1122566147429229
4,parallel_open_mp_csr,3996,0.0000455118715763,175602534.5299173295497894,175.6025345299173352,0.1756025345299173
5,parallel_open_mp_csr,3996,0.0010980861261487,7278117.6354811163619161,7.2781176354811157,0.0072781176354811
6,parallel_open_mp_csr,3996,0.0002225181087852,35916177.9849410057067871,35.9161779849410010,0.0359161779849410
7,parallel_open_mp_csr,3996,0.0000307066366076,260269468.8486245572566986,260.2694688486245695,0.2602694688486246
8,parallel_open_mp_csr,3996,0.0000339481048286,235418148.9762561321258545,235.4181489762561341,0.2354181489762562
9,parallel_open_mp_csr,3996,0.0000362652353942,220376344.2624584436416626,220.3763442624584457,0.2203763442624584
10,parallel_open_mp_csr,3996,0.0000563166104257,141911949.9484533667564392,141.9119499484533549,0.1419119499484534
11,parallel_open_mp_csr,3996,0.0000564260408282,141636731.5993199944496155,141.6367315993200009,0.1416367315993200
12,parallel_open_mp_csr,3996,0.0000489740632474,163188419.9524203538894653,163.1884199524203325,0.1631884199524204
13,parallel_open_mp_csr,3996,0.0000503836199641,158622981.1532191038131714,158.6229811532190865,0.1586229811532191
14,parallel_open_mp_csr,3996,0.0000532791018486,150002528.6220109164714813,150.0025286220109138,0.1500025286220109
15,parallel_open_mp_csr,3996,0.0000480622984469,166284182.3686551153659821,166.2841823686551095,0.1662841823686551
16,parallel_open_mp_csr,3996,0.0000503780320287,158640575.6273085176944733,158.6405756273085217,0.1586405756273085
17,parallel_open_mp_csr,3996,0.0000508180819452,157266856.4827226102352142,157.2668564827226021,0.1572668564827226
18,parallel_open_mp_csr,3996,0.0000476441346109,167743628.1563407182693481,167.7436281563407192,0.1677436281563407
19,parallel_open_mp_csr,3996,0.0000481177121401,166092684.8877017796039581,166.0926848877017790,0.1660926848877018
20,parallel_open_mp_csr,3996,0.0000526378862560,151829804.8887198269367218,151.8298048887198206,0.1518298048887198
21,parallel_open_mp_csr,3996,0.0015314719639719,5218508.8516232762485743,5.2185088516232758,0.0052185088516233
22,parallel_open_mp_csr,3996,0.0001031393185258,77487422.9753758609294891,77.4874229753758641,0.0774874229753759
23,parallel_open_mp_csr,3996,0.0010774349793792,7417616.9819593438878655,7.4176169819593438,0.0074176169819593
24,parallel_open_mp_csr,3996,0.0052260453812778,1529263.4137145413551480,1.5292634137145413,0.0015292634137145
25,parallel_open_mp_csr,3996,0.0026613790541887,3002954.4222276192158461,3.0029544222276190,0.0030029544222276
26,parallel_open_mp_csr,3996,0.0037709446623921,2119362.8428718941286206,2.1193628428718942,0.0021193628428719
27,parallel_open_mp_csr,3996,0.0009813820943236,8143617.0949379885569215,8.1436170949379889,0.0081436170949380
28,parallel_open_mp_csr,3996,0.0009922902099788,8054095.3842229228466749,8.0540953842229221,0.0080540953842229
29,parallel_open_mp_csr,3996,0.0010032276622951,7966287.5141586000099778,7.9662875141585996,0.0079662875141586
30,parallel_open_mp_csr,3996,0.0009847469627857,8115790.4538153372704983,8.1157904538153360,0.0081157904538153
31,parallel_open_mp_csr,3996,0.0003786720335484,21105334.6747336424887180,21.1053346747336406,0.0211053346747336
32,parallel_open_mp_csr,3996,0.0002249167300761,35533150.4121406599879265,35.5331504121406567,0.0355331504121407
33,parallel_open_mp_csr,3996,0.0010918690823019,7319558.8459666213020682,7.3195588459666210,0.0073195588459666
34,parallel_open_mp_csr,3996,0.0014119888655841,5660101.2903127511963248,5.6601012903127508,0.0056601012903128
35,parallel_open_mp_csr,3996,0.0000088042579591,907742598.7632093429565430,907.7425987632093438,0.9077425987632094
36,parallel_open_mp_csr,3996,0.0008375211618841,9542445.4494037739932537,9.5424454494037736,0.0095424454494038
37,parallel_open_mp_csr,3996,0.0000093402341008,855653071.8324857950210571,855.6530718324858071,0.8556530718324858
38,parallel_open_mp_csr,3996,0.0019822954200208,4031689.6862507332116365,4.0316896862507328,0.0040316896862507
