threads_used,computation_type,non_zero_values,time_used,FLOPS,MFLOPS,GFLOPS
1,serial_csr,293551,0.0003560630138963,1648871062.3870413303375244,1648.8710623870413201,1.6488710623870415
1,serial_hll,293551,0.0003935019485652,1491992611.8298635482788086,1491.9926118298635629,1.4919926118298636
2,parallel_open_mp_csr,293551,0.0003849558997899,1525114955.5582387447357178,1525.1149555582387620,1.5251149555582388
3,parallel_open_mp_csr,293551,0.0022853559348732,256897400.9873733818531036,256.8974009873733735,0.2568974009873734
4,parallel_open_mp_csr,293551,0.0001562400721014,3757691558.2779603004455566,3757.6915582779602119,3.7576915582779606
5,parallel_open_mp_csr,293551,0.0001157319638878,5072945971.6861820220947266,5072.9459716861820198,5.0729459716861820
6,parallel_open_mp_csr,293551,0.0000988680403680,5938238462.2468519210815430,5938.2384622468516682,5.9382384622468525
7,parallel_open_mp_csr,293551,0.0001200160477310,4891862472.5562200546264648,4891.8624725562194726,4.8918624725562205
8,parallel_open_mp_csr,293551,0.0001028981059790,5705663815.8142023086547852,5705.6638158142022803,5.7056638158142023
9,parallel_open_mp_csr,293551,0.0001063570380211,5520104836.7254638671875000,5520.1048367254634286,5.5201048367254639
10,parallel_open_mp_csr,293551,0.0000884248875082,6639556085.9024181365966797,6639.5560859024180900,6.6395560859024183
11,parallel_open_mp_csr,293551,0.0000839179847389,6996140360.4527769088745117,6996.1403604527768039,6.9961403604527774
12,parallel_open_mp_csr,293551,0.0001006489619613,5833164978.1536951065063477,5833.1649781536943919,5.8331649781536958
13,parallel_open_mp_csr,293551,0.0000960079487413,6115139503.5205249786376953,6115.1395035205250679,6.1151395035205249
14,parallel_open_mp_csr,293551,0.0000908609945327,6461540543.5462131500244141,6461.5405435462125752,6.4615405435462137
15,parallel_open_mp_csr,293551,0.0000868758652359,6757941327.0375442504882812,6757.9413270375443972,6.7579413270375444
16,parallel_open_mp_csr,293551,0.0000800578854978,7333468731.3977537155151367,7333.4687313977537997,7.3334687313977538
17,parallel_open_mp_csr,293551,0.0000959509052336,6118774998.2193708419799805,6118.7749982193709002,6.1187749982193713
18,parallel_open_mp_csr,293551,0.0000824690796435,7119056045.4661235809326172,7119.0560454661235781,7.1190560454661238
19,parallel_open_mp_csr,293551,0.0000806110911071,7283141710.8565950393676758,7283.1417108565947274,7.2831417108565955
20,parallel_open_mp_csr,293551,0.0001570740714669,3737739746.0766406059265137,3737.7397460766405857,3.7377397460766408
21,parallel_open_mp_csr,293551,0.0012506819330156,469425506.5989539623260498,469.4255065989539162,0.4694255065989540
22,parallel_open_mp_csr,293551,0.0028491609264165,206061368.6494773030281067,206.0613686494772878,0.2060613686494773
23,parallel_open_mp_csr,293551,0.0001150800380856,5101684095.4066991806030273,5101.6840954066992708,5.1016840954066991
24,parallel_open_mp_csr,293551,0.0052463319152594,111907139.9757168442010880,111.9071399757168450,0.1119071399757169
25,parallel_open_mp_csr,293551,0.0025052060373127,234352780.2726219892501831,234.3527802726219704,0.2343527802726220
26,parallel_open_mp_csr,293551,0.0009768099989742,601040121.0230695009231567,601.0401210230694460,0.6010401210230696
27,parallel_open_mp_csr,293551,0.0052377281244844,112090965.0227009207010269,112.0909650227009138,0.1120909650227009
28,parallel_open_mp_csr,293551,0.0014994509983808,391544639.0939062237739563,391.5446390939061985,0.3915446390939062
29,parallel_open_mp_csr,293551,0.0052292079199106,112273600.3218710869550705,112.2736003218710863,0.1122736003218711
30,parallel_open_mp_csr,293551,0.0027846489101648,210835196.4432196319103241,210.8351964432196155,0.2108351964432197
31,parallel_open_mp_csr,293551,0.0010365010239184,566426840.3522831201553345,566.4268403522830795,0.5664268403522832
32,parallel_open_mp_csr,293551,0.0029021319933236,202300240.4269152879714966,202.3002404269152805,0.2023002404269153
33,parallel_open_mp_csr,293551,0.0009850910864770,595987526.4932500123977661,595.9875264932500158,0.5959875264932500
34,parallel_open_mp_csr,293551,0.0010268068872392,571774505.3098980188369751,571.7745053098980179,0.5717745053098980
35,parallel_open_mp_csr,293551,0.0009226701222360,636307588.0003653764724731,636.3075880003653992,0.6363075880003655
36,parallel_open_mp_csr,293551,0.0009749070741236,602213293.5364810228347778,602.2132935364810464,0.6022132935364810
37,parallel_open_mp_csr,293551,0.0009831308852881,597175827.5378991365432739,597.1758275378990675,0.5971758275378992
38,parallel_open_mp_csr,293551,0.0009712830651551,604460245.4859222173690796,604.4602454859222007,0.6044602454859223
39,parallel_open_mp_csr,293551,0.0009756130166352,601777538.8287390470504761,601.7775388287390115,0.6017775388287391
40,parallel_open_mp_csr,293551,0.0009767930023372,601050579.3911445140838623,601.0505793911445380,0.6010505793911446
2,parallel_open_mp_hll,293551,0.0006174428854138,950860417.8126797676086426,950.8604178126797706,0.9508604178126798
3,parallel_open_mp_hll,293551,0.0002669370733202,2199402251.2409152984619141,2199.4022512409151204,2.1994022512409153
4,parallel_open_mp_hll,293551,0.0001662340946496,3531778491.2758126258850098,3531.7784912758124847,3.5317784912758130
5,parallel_open_mp_hll,293551,0.0009769820608199,600934268.4422633647918701,600.9342684422633738,0.6009342684422634
6,parallel_open_mp_hll,293551,0.0001275429967791,4603169243.5211696624755859,4603.1692435211698466,4.6031692435211697
7,parallel_open_mp_hll,293551,0.0001095300540328,5360190910.0142679214477539,5360.1909100142675015,5.3601909100142686
8,parallel_open_mp_hll,293551,0.0000864490866661,6791303675.2784624099731445,6791.3036752784619239,6.7913036752784626
9,parallel_open_mp_hll,293551,0.0001124888658524,5219200989.8169298171997070,5219.2009898169299049,5.2192009898169305
10,parallel_open_mp_hll,293551,0.0000956519506872,6137898869.6228342056274414,6137.8988696228343542,6.1378988696228349
11,parallel_open_mp_hll,293551,0.0001077828928828,5447079627.3604135513305664,5447.0796273604137241,5.4470796273604138
12,parallel_open_mp_hll,293551,0.0001199948601425,4892726232.6314325332641602,4892.7262326314321399,4.8927262326314329
13,parallel_open_mp_hll,293551,0.0001111929304898,5280029921.0925979614257812,5280.0299210925977604,5.2800299210925985
14,parallel_open_mp_hll,293551,0.0000990841072053,5925289297.7448511123657227,5925.2892977448509555,5.9252892977448512
15,parallel_open_mp_hll,293551,0.0001009400002658,5816346329.0449934005737305,5816.3463290449935812,5.8163463290449942
16,parallel_open_mp_hll,293551,0.0000902900937945,6502396612.1518230438232422,6502.3966121518224099,6.5023966121518235
17,parallel_open_mp_hll,293551,0.0000945050269365,6212389108.0872735977172852,6212.3891080872735984,6.2123891080872742
18,parallel_open_mp_hll,293551,0.0000983029603958,5972373544.3577384948730469,5972.3735443577379556,5.9723735443577386
19,parallel_open_mp_hll,293551,0.0000951788388193,6168408937.1466817855834961,6168.4089371466816374,6.1684089371466824
20,parallel_open_mp_hll,293551,0.0000995099544525,5899932355.8143157958984375,5899.9323558143150876,5.8999323558143164
21,parallel_open_mp_hll,293551,0.0069151499774307,84900833.9538769572973251,84.9008339538769548,0.0849008339538770
22,parallel_open_mp_hll,293551,0.0008424269035459,696917438.8054687976837158,696.9174388054688052,0.6969174388054689
23,parallel_open_mp_hll,293551,0.0002983291633427,1967967172.3060796260833740,1967.9671723060796467,1.9679671723060796
24,parallel_open_mp_hll,293551,0.0052679309155792,111448310.4293802529573441,111.4483104293802427,0.1114483104293803
25,parallel_open_mp_hll,293551,0.0004136769566685,1419228193.7291460037231445,1419.2281937291459144,1.4192281937291460
26,parallel_open_mp_hll,293551,0.0009712050668895,604508790.1778661012649536,604.5087901778661035,0.6045087901778662
27,parallel_open_mp_hll,293551,0.0019882950000465,295279121.0490757226943970,295.2791210490756839,0.2952791210490757
28,parallel_open_mp_hll,293551,0.0009759960230440,601541385.5569963455200195,601.5413855569963744,0.6015413855569964
29,parallel_open_mp_hll,293551,0.0009902610909194,592875965.1203950643539429,592.8759651203949943,0.5928759651203951
30,parallel_open_mp_hll,293551,0.0039804640691727,147495867.2650491893291473,147.4958672650491849,0.1474958672650492
31,parallel_open_mp_hll,293551,0.0011265450157225,521152720.7578653693199158,521.1527207578653815,0.5211527207578655
32,parallel_open_mp_hll,293551,0.0007067108526826,830752772.1860085725784302,830.7527721860085421,0.8307527721860086
33,parallel_open_mp_hll,293551,0.0010354968253523,566976146.7402355670928955,566.9761467402355493,0.5669761467402356
34,parallel_open_mp_hll,293551,0.0052438708953559,111959659.5179235637187958,111.9596595179235550,0.1119596595179236
35,parallel_open_mp_hll,293551,0.0008963150903583,655017422.2385737895965576,655.0174222385737721,0.6550174222385738
36,parallel_open_mp_hll,293551,0.0007752550300211,757301761.6977506875991821,757.3017616977506350,0.7573017616977508
37,parallel_open_mp_hll,293551,0.0009839879348874,596655689.7541410923004150,596.6556897541411217,0.5966556897541412
38,parallel_open_mp_hll,293551,0.0009907560888678,592579754.5901823043823242,592.5797545901822332,0.5925797545901823
39,parallel_open_mp_hll,293551,0.0010013489518315,586311094.5751675367355347,586.3110945751675445,0.5863110945751676
40,parallel_open_mp_hll,293551,0.0039676481392235,147972294.7697945237159729,147.9722947697945301,0.1479722947697945
4,cuda_csr_kernel_1,293551,0.0000348159992427,16862994392.5257892608642578,16862.9943925257866795,16.8629943925257919
8,cuda_csr_kernel_1,293551,0.0000255679988186,22962375904.5696830749511719,22962.3759045696824614,22.9623759045696829
16,cuda_csr_kernel_1,293551,0.0000241279994952,24332808864.4729652404785156,24332.8088644729650696,24.3328088644729661
32,cuda_csr_kernel_1,293551,0.0000245120008913,23951614664.3602218627929688,23951.6146643602223776,23.9516146643602248
4,cuda_csr_kernel_2,293551,0.0000198720008484,29544181508.3764457702636719,29544.1815083764449810,29.5441815083764467
8,cuda_csr_kernel_2,293551,0.0000192960014829,30426096335.0960350036621094,30426.0963350960337266,30.4260963350960374
16,cuda_csr_kernel_2,293551,0.0000206400018214,28444861830.8701858520507812,28444.8618308701843489,28.4448618308701882
