threads_used,computation_type,non_zero_values,time_used,FLOPS,MFLOPS,GFLOPS
1,serial_csr,3083796,0.0144973429851234,425429129.0706815123558044,425.4291290706814834,0.4254291290706815
1,serial_hll,3083796,0.0117505798116326,524875546.4725506901741028,524.8755464725506954,0.5248755464725507
2,parallel_open_mp_csr,3083796,0.0063635320402682,969208917.4646593332290649,969.2089174646592937,0.9692089174646594
3,parallel_open_mp_csr,3083796,0.0052364142611623,1177827362.8471543788909912,1177.8273628471542906,1.1778273628471545
4,parallel_open_mp_csr,3083796,0.0035353992134333,1744524911.5192799568176270,1744.5249115192798399,1.7445249115192800
5,parallel_open_mp_csr,3083796,0.0034067677333951,1810394039.9404721260070801,1810.3940399404721120,1.8103940399404723
6,parallel_open_mp_csr,3083796,0.0029522748664021,2089098162.9756796360015869,2089.0981629756793154,2.0890981629756800
7,parallel_open_mp_csr,3083796,0.0029341219924390,2102023029.6808822154998779,2102.0230296808822459,2.1020230296808822
8,parallel_open_mp_csr,3083796,0.0026817629113793,2299827465.6680078506469727,2299.8274656680077896,2.2998274656680078
9,parallel_open_mp_csr,3083796,0.0026915720663965,2291445983.1860580444335938,2291.4459831860581289,2.2914459831860583
10,parallel_open_mp_csr,3083796,0.0026142071001232,2359259141.9820628166198730,2359.2591419820628289,2.3592591419820628
11,parallel_open_mp_csr,3083796,0.0026275250129402,2347300965.5952010154724121,2347.3009655952009780,2.3473009655952013
12,parallel_open_mp_csr,3083796,0.0026434627361596,2333148833.7756223678588867,2333.1488337756222791,2.3331488337756223
13,parallel_open_mp_csr,3083796,0.0025267740711570,2440895713.7889008522033691,2440.8957137889005935,2.4408957137889011
14,parallel_open_mp_csr,3083796,0.0025245486758649,2443047368.8081784248352051,2443.0473688081783621,2.4430473688081786
15,parallel_open_mp_csr,3083796,0.0025291708298028,2438582608.7046113014221191,2438.5826087046111752,2.4385826087046114
16,parallel_open_mp_csr,3083796,0.0025144536048174,2452855756.8863615989685059,2452.8557568863616325,2.4528557568863616
17,parallel_open_mp_csr,3083796,0.0025246338918805,2442964906.6486921310424805,2442.9649066486917945,2.4429649066486925
18,parallel_open_mp_csr,3083796,0.0024895020760596,2477439990.6354584693908691,2477.4399906354583436,2.4774399906354585
19,parallel_open_mp_csr,3083796,0.0023877951316535,2582965313.1627521514892578,2582.9653131627519542,2.5829653131627524
20,parallel_open_mp_csr,3083796,0.0024592103436589,2507956269.7445302009582520,2507.9562697445298909,2.5079562697445303
21,parallel_open_mp_csr,3083796,0.0026410911232233,2335243924.6673159599304199,2335.2439246673156958,2.3352439246673162
22,parallel_open_mp_csr,3083796,0.0025968039408326,2375070332.8116798400878906,2375.0703328116796911,2.3750703328116800
23,parallel_open_mp_csr,3083796,0.0024935947731137,2473373808.1663475036621094,2473.3738081663473167,2.4733738081663477
