threads_used,computation_type,non_zero_values,time_used,FLOPS,MFLOPS,GFLOPS
1,serial_csr,711558,0.0014848210848868,958442747.4024629592895508,958.4427474024629419,0.9584427474024630
1,serial_hll,711558,0.0015159291215241,938774761.8234404325485229,938.7747618234403717,0.9387747618234404
2,parallel_open_mp_csr,711558,0.0030640689656138,464452992.4002214074134827,464.4529924002213761,0.4644529924002214
3,parallel_open_mp_csr,711558,0.0013967640697956,1018866414.7183049917221069,1018.8664147183048954,1.0188664147183051
4,parallel_open_mp_csr,711558,0.0008733649738133,1629463102.6778826713562012,1629.4631026778824889,1.6294631026778827
5,parallel_open_mp_csr,711558,0.0006224098615348,2286461201.7725133895874023,2286.4612017725135047,2.2864612017725134
6,parallel_open_mp_csr,711558,0.0005072802305222,2805384311.0249977111816406,2805.3843110249977144,2.8053843110249979
7,parallel_open_mp_csr,711558,0.0004733270034194,3006623306.3382282257080078,3006.6233063382283035,3.0066233063382284
8,parallel_open_mp_csr,711558,0.0004120729863644,3453553246.8552727699279785,3453.5532468552723913,3.4535532468552730
9,parallel_open_mp_csr,711558,0.0003642225638032,3907270283.1474399566650391,3907.2702831474398408,3.9072702831474402
10,parallel_open_mp_csr,711558,0.0004619644023478,3080575024.3252863883972168,3080.5750243252864493,3.0805750243252867
11,parallel_open_mp_csr,711558,0.0003391709178686,4195866818.2490730285644531,4195.8668182490728213,4.1958668182490735
12,parallel_open_mp_csr,711558,0.0004609306342900,3087484090.0782732963562012,3087.4840900782733115,3.0874840900782736
13,parallel_open_mp_csr,711558,0.0004254681989551,3344823428.6255540847778320,3344.8234286255537882,3.3448234286255545
14,parallel_open_mp_csr,711558,0.0003271708264947,4349764357.8043193817138672,4349.7643578043189336,4.3497643578043199
15,parallel_open_mp_csr,711558,0.0003811251372099,3733986192.6143832206726074,3733.9861926143830715,3.7339861926143834
16,parallel_open_mp_csr,711558,0.0003584218211472,3970506024.0055189132690430,3970.5060240055186114,3.9705060240055192
17,parallel_open_mp_csr,711558,0.0002897628583014,4911312679.4177494049072266,4911.3126794177487682,4.9113126794177493
18,parallel_open_mp_csr,711558,0.0003425418399274,4154575687.1670832633972168,4154.5756871670828332,4.1545756871670836
19,parallel_open_mp_csr,711558,0.0003288961015642,4326947000.0766925811767578,4326.9470000766923476,4.3269470000766930
20,parallel_open_mp_csr,711558,0.0002805688418448,5072252466.2493638992309570,5072.2524662493633514,5.0722524662493642
21,parallel_open_mp_csr,711558,0.0042167198844254,337493606.1691760420799255,337.4936061691760187,0.3374936061691761
22,parallel_open_mp_csr,711558,0.0005833208560944,2439679612.2266387939453125,2439.6796122266387101,2.4396796122266391
23,parallel_open_mp_csr,711558,0.0005442327819765,2614903120.7413578033447266,2614.9031207413577249,2.6149031207413578
24,parallel_open_mp_csr,711558,0.0005971919745207,2383012600.1646585464477539,2383.0126001646585792,2.3830126001646588
25,parallel_open_mp_csr,711558,0.0005230838432908,2720626947.7698736190795898,2720.6269477698733681,2.7206269477698739
26,parallel_open_mp_csr,711558,0.0005448209121823,2612080351.8711786270141602,2612.0803518711786637,2.6120803518711786
27,parallel_open_mp_csr,711558,0.0005510170012712,2582707968.5685524940490723,2582.7079685685525874,2.5827079685685526
28,parallel_open_mp_csr,711558,0.0005535418167710,2570927718.3455576896667480,2570.9277183455574232,2.5709277183455579
29,parallel_open_mp_csr,711558,0.0014723469503224,966562942.0350890159606934,966.5629420350890086,0.9665629420350891
30,parallel_open_mp_csr,711558,0.0005974271334708,2382074600.0141611099243164,2382.0746000141612058,2.3820746000141613
31,parallel_open_mp_csr,711558,0.0012838700786233,1108457953.5695853233337402,1108.4579535695852428,1.1084579535695853
