threads_used,computation_type,non_zero_values,time_used,FLOPS,MFLOPS,GFLOPS
1,serial_csr,3105536,0.0142189450562000,436816653.7989205121994019,436.8166537989204699,0.4368166537989205
1,serial_hll,3105536,0.0258254171349108,240502291.5042819380760193,240.5022915042819136,0.2405022915042820
2,parallel_open_mp_csr,3105536,0.0181222236715257,342732333.1054045557975769,342.7323331054045639,0.3427323331054046
3,parallel_open_mp_csr,3105536,0.0110758817754686,560774494.1587034463882446,560.7744941587034191,0.5607744941587035
4,parallel_open_mp_csr,3105536,0.0076128649525344,815865254.2407494783401489,815.8652542407494366,0.8158652542407495
5,parallel_open_mp_csr,3105536,0.0070748063735664,877914061.8189126253128052,877.9140618189126144,0.8779140618189126
6,parallel_open_mp_csr,3105536,0.0056150332093239,1106150537.0415942668914795,1106.1505370415941343,1.1061505370415943
7,parallel_open_mp_csr,3105536,0.0124061531387269,500644472.9923223853111267,500.6444729923223349,0.5006444729923224
8,parallel_open_mp_csr,3105536,0.0175548819825053,353808815.4730844497680664,353.8088154730844508,0.3538088154730845
9,parallel_open_mp_csr,3105536,0.0181179358623922,342813444.4880370497703552,342.8134444880370211,0.3428134444880371
10,parallel_open_mp_csr,3105536,0.0181105248630047,342953727.0169171690940857,342.9537270169171279,0.3429537270169172
11,parallel_open_mp_csr,3105536,0.0125559601001441,494671211.9552446007728577,494.6712119552445870,0.4946712119552446
12,parallel_open_mp_csr,3105536,0.0174213130958378,356521461.1454232335090637,356.5214611454232454,0.3565214611454233
13,parallel_open_mp_csr,3105536,0.0169526641257107,366377340.6906689405441284,366.3773406906689161,0.3663773406906690
14,parallel_open_mp_csr,3105536,0.0169746889732778,365901962.0199052095413208,365.9019620199051701,0.3659019620199052
15,parallel_open_mp_csr,3105536,0.0160919260233641,385974431.5865029096603394,385.9744315865028739,0.3859744315865029
16,parallel_open_mp_csr,3105536,0.0163139281794429,380722038.9646282792091370,380.7220389646282683,0.3807220389646283
17,parallel_open_mp_csr,3105536,0.0136096379719675,456373050.6860870718955994,456.3730506860870264,0.4563730506860871
18,parallel_open_mp_csr,3105536,0.0197321670129895,314768874.3923211097717285,314.7688743923210950,0.3147688743923212
19,parallel_open_mp_csr,3105536,0.0153248771093786,405293429.4787215590476990,405.2934294787215208,0.4052934294787216
20,parallel_open_mp_csr,3105536,0.0142308347858489,436451697.5614312291145325,436.4516975614312173,0.4364516975614313
21,parallel_open_mp_csr,3105536,0.0137076717801392,453109185.8355630636215210,453.1091858355630393,0.4531091858355631
22,parallel_open_mp_csr,3105536,0.0141488690860569,438980102.3829333782196045,438.9801023829333531,0.4389801023829334
23,parallel_open_mp_csr,3105536,0.0156934661790729,395774389.7445949316024780,395.7743897445949415,0.3957743897445949
24,parallel_open_mp_csr,3105536,0.0147781376726925,420287869.6601260900497437,420.2878696601260913,0.4202878696601261
25,parallel_open_mp_csr,3105536,0.0137387360446155,452084673.5704079866409302,452.0846735704079720,0.4520846735704080
26,parallel_open_mp_csr,3105536,0.0206182799302042,301241035.6744293570518494,301.2410356744293267,0.3012410356744294
27,parallel_open_mp_csr,3105536,0.0146082490682602,425175664.1728537678718567,425.1756641728537716,0.4251756641728538
28,parallel_open_mp_csr,3105536,0.0203093318268657,305823552.0965709090232849,305.8235520965708929,0.3058235520965709
29,parallel_open_mp_csr,3105536,0.0205752728506923,301870699.1188709139823914,301.8706991188709026,0.3018706991188709
30,parallel_open_mp_csr,3105536,0.0201582019217312,308116369.9081836938858032,308.1163699081836853,0.3081163699081837
31,parallel_open_mp_csr,3105536,0.0263926638290286,235333274.4369896948337555,235.3332744369896830,0.2353332744369897
32,parallel_open_mp_csr,3105536,0.0219958359375596,282374901.2145571708679199,282.3749012145571555,0.2823749012145572
33,parallel_open_mp_csr,3105536,0.0213573691435158,290816343.4486360549926758,290.8163434486360188,0.2908163434486360
34,parallel_open_mp_csr,3105536,0.0155190513469279,400222401.5599723458290100,400.2224015599723543,0.4002224015599724
35,parallel_open_mp_csr,3105536,0.0246262177824974,252213801.3582579493522644,252.2138013582579390,0.2522138013582579
36,parallel_open_mp_csr,3105536,0.0262143467552960,236934074.9925495982170105,236.9340749925495970,0.2369340749925496
37,parallel_open_mp_csr,3105536,0.0255267792381346,243315928.8156979382038116,243.3159288156979301,0.2433159288156979
38,parallel_open_mp_csr,3105536,0.0214008013717830,290226141.1663446426391602,290.2261411663446324,0.2902261411663447
39,parallel_open_mp_csr,3105536,0.0203422009944916,305329398.8040863275527954,305.3293988040863383,0.3053293988040863
40,parallel_open_mp_csr,3105536,0.0198858361691236,312336476.4336040616035461,312.3364764336040480,0.3123364764336041
2,parallel_open_mp_hll,3105536,0.0262327259406447,236768074.1244135499000549,236.7680741244135447,0.2367680741244136
3,parallel_open_mp_hll,3105536,0.0243591731414199,254978769.7612283825874329,254.9787697612283637,0.2549787697612284
4,parallel_open_mp_hll,3105536,0.0172170978039503,360750230.4235575199127197,360.7502304235575252,0.3607502304235575
5,parallel_open_mp_hll,3105536,0.0167203638702631,371467513.9962888360023499,371.4675139962888011,0.3714675139962889
6,parallel_open_mp_hll,3105536,0.0163331814110279,380273251.3462675213813782,380.2732513462675001,0.3802732513462675
7,parallel_open_mp_hll,3105536,0.0192629341036081,322436445.3822539448738098,322.4364453822539076,0.3224364453822540
8,parallel_open_mp_hll,3105536,0.0206606043502688,300623926.3237805366516113,300.6239263237804948,0.3006239263237805
9,parallel_open_mp_hll,3105536,0.0180975710973144,343199204.2800545096397400,343.1992042800545164,0.3431992042800545
10,parallel_open_mp_hll,3105536,0.0232621598988771,267003237.3176063597202301,267.0032373176063629,0.2670032373176064
11,parallel_open_mp_hll,3105536,0.0245945197530091,252538860.7858500778675079,252.5388607858500620,0.2525388607858501
12,parallel_open_mp_hll,3105536,0.0278096310794353,223342480.9649114906787872,223.3424809649114877,0.2233424809649115
