name,threads_used,computation_type,non_zero_values,time_used,FLOPS,MFLOPS,GFLOPS
webbase-1M,1,serial_hll,3105536,0.0153889451175928,403606092.07056266,403.60609207056257,0.4036060920705627
raefsky2,1,serial_hll,293551,0.0003696824423969,1588125192.5124052,1588.1251925124054,1.5881251925124056
af23560,1,serial_hll,460598,0.0005453573539853,1689160315.2834983,1689.1603152834982,1.6891603152834984
lung2,1,serial_hll,492564,0.0009502749890089,1036676763.4571196,1036.6767634571195,1.0366767634571197
cavity10,1,serial_hll,76171,0.0001595770008862,954661380.7376834,954.6613807376832,0.9546613807376836
nlpkkt80,1,serial_hll,28192672,0.0334427640773356,1686025230.1397765,1686.0252301397763,1.686025230139777
roadNet-PA,1,serial_hll,3083796,0.0112430471926928,548569430.8931239,548.5694308931238,0.5485694308931239
amazon0302,1,serial_hll,1234877,0.0033933618105948,727819235.8648297,727.8192358648295,0.7278192358648297
cage4,1,serial_hll,49,3.729946911e-07,262738323.9750312,262.7383239750312,0.2627383239750312
mcfe,1,serial_hll,24382,4.6060886234e-05,1058685665.5822875,1058.6856655822878,1.0586856655822878
mhd4800a,1,serial_hll,102252,0.0001557930372655,1312664568.259467,1312.6645682594667,1.3126645682594669
mhda416,1,serial_hll,8562,1.28238461912e-05,1335324811.6617162,1335.3248116617162,1.3353248116617162
ML_Laplace,1,serial_hll,27582698,0.0324016590602696,1702548499.0564246,1702.5484990564244,1.7025484990564248
rdist2,1,serial_hll,56834,0.0001969449222088,577156286.7688348,577.1562867688349,0.577156286768835
PR02R,1,serial_hll,8185136,0.0123419528827071,1326392359.10041,1326.39235910041,1.32639235910041
Cube_Coup_dt0,1,serial_hll,124406070,0.1570337950251997,1584449640.0285835,1584.4496400285836,1.584449640028584
thermal1,1,serial_hll,574458,0.0008184141479433,1403832036.490718,1403.8320364907179,1.403832036490718
cop20k_A,1,serial_hll,2624331,0.0056962831877172,921418726.392958,921.4187263929578,0.921418726392958
cant,1,serial_hll,4007383,0.0051929350011051,1543398097.2791755,1543.3980972791755,1.543398097279176
mac_econ_fwd500,1,serial_hll,1273389,0.0051806280389428,491596381.91660416,491.5963819166042,0.4915963819166043
west2021,1,serial_hll,7310,2.11740843952e-05,690466691.6003606,690.4666916003606,0.6904666916003607
dc1,1,serial_hll,766396,0.0067882779985666,225799827.3381932,225.79982733819315,0.2257998273381932
thermomech_TK,1,serial_hll,711558,0.0014775888994336,963133927.5393219,963.1339275393219,0.963133927539322
adder_dcop_32,1,serial_hll,11246,5.66588714719e-05,396972255.4598024,396.97225545980245,0.3969722554598025
thermal2,1,serial_hll,8580313,0.0211926233023405,809745247.4467747,809.7452474467747,0.8097452474467749
bcsstk17,1,serial_hll,428650,0.0006087911315262,1408200539.7331588,1408.2005397331588,1.408200539733159
olm1000,1,serial_hll,3996,7.5288116932e-06,1061522100.1246908,1061.5221001246907,1.0615221001246908
af_1_k101,1,serial_hll,17550675,0.0204474152997136,1716664404.0575452,1716.6644040575452,1.7166644040575454
FEM_3D_thermal1,1,serial_hll,430740,0.0005218759179115,1650737216.3243628,1650.7372163243629,1.650737216324363
olafu,1,serial_hll,1015156,0.0013143508695066,1544726029.4826539,1544.7260294826535,1.544726029482654
